
Detailed
 ==================== 
Area,Unit,Category,Time,ID,
1.10912,µm^2,Surface,1,0,
200.155,µm^2,Surface,1,1,
1.09307,µm^2,Surface,1,2,
0.73029,µm^2,Surface,1,3,
0.649567,µm^2,Surface,1,4,
0.666238,µm^2,Surface,1,5,
1.12529,µm^2,Surface,1,6,
48.9423,µm^2,Surface,1,7,
1.12593,µm^2,Surface,1,8,
1.25694,µm^2,Surface,1,9,
0.618812,µm^2,Surface,1,10,
0.611854,µm^2,Surface,1,11,
0.642872,µm^2,Surface,1,12,
1.02124,µm^2,Surface,1,13,
60.6422,µm^2,Surface,1,14,
0.783225,µm^2,Surface,1,15,
0.767663,µm^2,Surface,1,16,
0.779554,µm^2,Surface,1,17,
0.107321,µm^2,Surface,1,18,
1.0381,µm^2,Surface,1,19,
46.0628,µm^2,Surface,1,20,
0.648604,µm^2,Surface,1,21,
41.0642,µm^2,Surface,1,22,
0.889081,µm^2,Surface,1,23,
0.624555,µm^2,Surface,1,24,
0.878901,µm^2,Surface,1,25,
0.881095,µm^2,Surface,1,26,
0.324201,µm^2,Surface,1,27,
0.611854,µm^2,Surface,1,28,
0.885763,µm^2,Surface,1,29,
0.719996,µm^2,Surface,1,30,
1.25294,µm^2,Surface,1,31,
81.4768,µm^2,Surface,1,32,
0.313252,µm^2,Surface,1,33,
52.4244,µm^2,Surface,1,34,
0.766571,µm^2,Surface,1,35,
0.697934,µm^2,Surface,1,36,
0.730851,µm^2,Surface,1,37,
0.883984,µm^2,Surface,1,38,
219.531,µm^2,Surface,1,39,
1.29146,µm^2,Surface,1,40,
14.0521,µm^2,Surface,1,41,
1.14952,µm^2,Surface,1,42,
1.31841,µm^2,Surface,1,43,
0.798542,µm^2,Surface,1,44,
1.18737,µm^2,Surface,1,45,
0.722451,µm^2,Surface,1,46,
0.744963,µm^2,Surface,1,47,
94.7392,µm^2,Surface,1,48,
0.376769,µm^2,Surface,1,49,
0.827312,µm^2,Surface,1,50,
0.811418,µm^2,Surface,1,51,
59.3979,µm^2,Surface,1,52,
1.04484,µm^2,Surface,1,53,
0.611854,µm^2,Surface,1,54,
0.657322,µm^2,Surface,1,55,
0.887189,µm^2,Surface,1,56,
0.455216,µm^2,Surface,1,57,
0.650715,µm^2,Surface,1,58,
0.688756,µm^2,Surface,1,59,
16.9357,µm^2,Surface,1,60,
0.788449,µm^2,Surface,1,61,
73.684,µm^2,Surface,1,62,
51.9559,µm^2,Surface,1,63,
98.3434,µm^2,Surface,1,64,
72.0419,µm^2,Surface,1,65,
30.5242,µm^2,Surface,1,66,
0.904237,µm^2,Surface,1,67,
0.798822,µm^2,Surface,1,68,
1.08918,µm^2,Surface,1,69,
0.877931,µm^2,Surface,1,70,
0.611854,µm^2,Surface,1,71,
0.732698,µm^2,Surface,1,72,
81.8769,µm^2,Surface,1,73,
20.729,µm^2,Surface,1,74,
0.643705,µm^2,Surface,1,75,
0.818926,µm^2,Surface,1,76,
0.033716,µm^2,Surface,1,77,
0.735433,µm^2,Surface,1,78,
0.795262,µm^2,Surface,1,79,
1.05785,µm^2,Surface,1,80,
0.921212,µm^2,Surface,1,81,
1.09967,µm^2,Surface,1,82,
0.715345,µm^2,Surface,1,83,
1.02621,µm^2,Surface,1,84,
0.718986,µm^2,Surface,1,85,
0.648387,µm^2,Surface,1,86,
130.453,µm^2,Surface,1,87,
1.17761,µm^2,Surface,1,88,
0.624567,µm^2,Surface,1,89,
0.837644,µm^2,Surface,1,90,
170.117,µm^2,Surface,1,91,
0.860262,µm^2,Surface,1,92,
1.10061,µm^2,Surface,1,93,
0.879789,µm^2,Surface,1,94,
0.147863,µm^2,Surface,1,95,
0.726947,µm^2,Surface,1,96,
1.02781,µm^2,Surface,1,97,
0.63893,µm^2,Surface,1,98,
0.922395,µm^2,Surface,1,99,
40.2423,µm^2,Surface,1,100,
0.327368,µm^2,Surface,1,101,
64.9358,µm^2,Surface,1,102,
62.2906,µm^2,Surface,1,103,
0.77485,µm^2,Surface,1,104,
1.32519,µm^2,Surface,1,105,
0.708215,µm^2,Surface,1,106,
0.611854,µm^2,Surface,1,107,
29.1304,µm^2,Surface,1,108,
0.611854,µm^2,Surface,1,109,
47.2137,µm^2,Surface,1,110,
65.4823,µm^2,Surface,1,111,
0.77485,µm^2,Surface,1,112,
1.33357,µm^2,Surface,1,113,
0.734835,µm^2,Surface,1,114,
0.611854,µm^2,Surface,1,115,
0.620379,µm^2,Surface,1,116,
0.362695,µm^2,Surface,1,117,
196.031,µm^2,Surface,1,118,
0.904429,µm^2,Surface,1,119,
78.6422,µm^2,Surface,1,120,
0.819065,µm^2,Surface,1,121,
0.871118,µm^2,Surface,1,122,
0.655529,µm^2,Surface,1,123,
1.14843,µm^2,Surface,1,124,
73.9251,µm^2,Surface,1,125,
0.681148,µm^2,Surface,1,126,
0.827492,µm^2,Surface,1,127,
1.1232,µm^2,Surface,1,128,
1.05954,µm^2,Surface,1,129,
1.08507,µm^2,Surface,1,130,
1.03565,µm^2,Surface,1,131,
0.611854,µm^2,Surface,1,132,
1.18023,µm^2,Surface,1,133,
56.6135,µm^2,Surface,1,134,
1.03694,µm^2,Surface,1,135,
0.822541,µm^2,Surface,1,136,
0.309617,µm^2,Surface,1,137,
0.740599,µm^2,Surface,1,138,
0.707214,µm^2,Surface,1,139,
0.617827,µm^2,Surface,1,140,
0.755482,µm^2,Surface,1,141,
0.643929,µm^2,Surface,1,142,
20.3563,µm^2,Surface,1,143,
94.7134,µm^2,Surface,1,144,
1.00691,µm^2,Surface,1,145,
0.798418,µm^2,Surface,1,146,
0.906134,µm^2,Surface,1,147,
1.35489,µm^2,Surface,1,148,
15.6675,µm^2,Surface,1,149,
0.931253,µm^2,Surface,1,150,
0.769747,µm^2,Surface,1,151,
1.04417,µm^2,Surface,1,152,
0.805733,µm^2,Surface,1,153,
0.645043,µm^2,Surface,1,154,
79.9772,µm^2,Surface,1,155,
0.611854,µm^2,Surface,1,156,
0.6605,µm^2,Surface,1,157,
1.15783,µm^2,Surface,1,158,
0.953665,µm^2,Surface,1,159,
0.687269,µm^2,Surface,1,160,
0.651868,µm^2,Surface,1,161,
0.629027,µm^2,Surface,1,162,
72.7939,µm^2,Surface,1,163,
1.05471,µm^2,Surface,1,164,
0.771183,µm^2,Surface,1,165,
1.22144,µm^2,Surface,1,166,
65.9129,µm^2,Surface,1,167,
0.65842,µm^2,Surface,1,168,
0.345998,µm^2,Surface,1,169,
1.13017,µm^2,Surface,1,170,
35.0664,µm^2,Surface,1,171,
0.846936,µm^2,Surface,1,172,
49.8563,µm^2,Surface,1,173,
0.677528,µm^2,Surface,1,174,
0.481279,µm^2,Surface,1,175,
0.112892,µm^2,Surface,1,176,
0.920452,µm^2,Surface,1,177,
80.9761,µm^2,Surface,1,178,
