
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
2.29251,,Spot,Selected Surfaces - W2,1,ibranched,3,
1.1596,,Spot,Selected Surfaces - W2,1,ibranched,4,
1.1596,,Spot,Selected Surfaces - W2,1,ibranched,5,
2.10871,,Spot,Selected Surfaces - W2,1,ibranched,8,
3.92519,,Spot,Selected Surfaces - W2,1,ibranched,13,
1.49677,,Spot,Selected Surfaces - W2,1,ibranched,15,
3.52768,,Spot,Selected Surfaces - W2,1,ibranched,20,
2.03745,,Spot,Selected Surfaces - W2,1,ibranched,22,
2.86142,,Spot,Selected Surfaces - W2,1,ibranched,24,
4.79158,,Spot,Selected Surfaces - W2,1,ibranched,25,
2.05872,,Spot,Selected Surfaces - W2,1,ibranched,31,
4.43395,,Spot,Selected Surfaces - W2,1,ibranched,41,
2.61508,,Spot,Selected Surfaces - W2,1,ibranched,42,
2.3192,,Spot,Selected Surfaces - W2,1,ibranched,46,
1.94509,,Spot,Selected Surfaces - W2,1,ibranched,47,
2.02536,,Spot,Selected Surfaces - W2,1,ibranched,48,
2.07565,,Spot,Selected Surfaces - W2,1,ibranched,49,
4.96152,,Spot,Selected Surfaces - W2,1,ibranched,50,
2.30402,,Spot,Selected Surfaces - W2,1,ibranched,52,
3.98666,,Spot,Selected Surfaces - W2,1,ibranched,55,
1.65025,,Spot,Selected Surfaces - W2,1,ibranched,56,
2.61904,,Spot,Selected Surfaces - W2,1,ibranched,58,
5.66464,,Spot,Selected Surfaces - W2,1,ibranched,61,
6.45884,,Spot,Selected Surfaces - W2,1,ibranched,68,
1.46101,,Spot,Selected Surfaces - W2,1,ibranched,69,
4.07004,,Spot,Selected Surfaces - W2,1,ibranched,72,
3.35266,,Spot,Selected Surfaces - W2,1,ibranched,73,
5.16946,,Spot,Selected Surfaces - W2,1,ibranched,75,
6.23937,,Spot,Selected Surfaces - W2,1,ibranched,77,
6.04762,,Spot,Selected Surfaces - W2,1,ibranched,83,
6.51407,,Spot,Selected Surfaces - W2,1,ibranched,86,
6.46988,,Spot,Selected Surfaces - W2,1,ibranched,89,
6.39391,,Spot,Selected Surfaces - W2,1,ibranched,90,
6.04762,,Spot,Selected Surfaces - W2,1,ibranched,97,
3.41386,,Spot,Selected Surfaces - W2,1,ibranched,100,
1.85179,,Spot,Selected Surfaces - W2,1,ibranched,107,
4.38842,,Spot,Selected Surfaces - W2,1,ibranched,109,
1.93841,,Spot,Selected Surfaces - W2,1,ibranched,110,
2.52517,,Spot,Selected Surfaces - W2,1,ibranched,111,
2.49078,,Spot,Selected Surfaces - W2,1,ibranched,112,
0.301455,,Spot,Selected Surfaces - W2,1,ibranched,114,
2.11677,,Spot,Selected Surfaces - W2,1,ibranched,117,
2.18036,,Spot,Selected Surfaces - W2,1,ibranched,118,
2.01304,,Spot,Selected Surfaces - W2,1,ibranched,120,
3.48622,,Spot,Selected Surfaces - W2,1,ibranched,121,
2.99357,,Spot,Selected Surfaces - W2,1,ibranched,123,
1.38472,,Spot,Selected Surfaces - W2,1,ibranched,125,
4.04285,,Spot,Selected Surfaces - W2,1,ibranched,130,
3.43517,,Spot,Selected Surfaces - W2,1,ibranched,132,
2.08438,,Spot,Selected Surfaces - W2,1,ibranched,133,
2.44901,,Spot,Selected Surfaces - W2,1,ibranched,134,
2.59949,,Spot,Selected Surfaces - W2,1,ibranched,136,
2.304,,Spot,Selected Surfaces - W2,1,ibranched,138,
2.304,,Spot,Selected Surfaces - W2,1,ibranched,139,
5.53611,,Spot,Selected Surfaces - W2,1,ibranched,140,
2.62914,,Spot,Selected Surfaces - W2,1,ibranched,141,
3.30051,,Spot,Selected Surfaces - W2,1,ibranched,144,
2.95889,,Spot,Selected Surfaces - W2,1,ibranched,147,
4.52481,,Spot,Selected Surfaces - W2,1,ibranched,149,
