
Detailed
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
3.32654,,Spot,Selected Surfaces - W0,1,0,
3.91636,,Spot,Selected Surfaces - W0,1,1,
3.07117,,Spot,Selected Surfaces - W0,1,2,
6.99358,,Spot,Selected Surfaces - W0,1,3,
2.63243,,Spot,Selected Surfaces - W0,1,4,
2.95889,,Spot,Selected Surfaces - W0,1,5,
1.78041,,Spot,Selected Surfaces - W0,1,6,
2.63358,,Spot,Selected Surfaces - W0,1,7,
1.24539,,Spot,Selected Surfaces - W0,1,8,
2.55877,,Spot,Selected Surfaces - W0,1,9,
1.65027,,Spot,Selected Surfaces - W0,1,10,
2.99355,,Spot,Selected Surfaces - W0,1,11,
1.83205,,Spot,Selected Surfaces - W0,1,12,
2.80951,,Spot,Selected Surfaces - W0,1,13,
3.0569,,Spot,Selected Surfaces - W0,1,14,
3.18337,,Spot,Selected Surfaces - W0,1,15,
3.08462,,Spot,Selected Surfaces - W0,1,16,
2.35606,,Spot,Selected Surfaces - W0,1,17,
4.51295,,Spot,Selected Surfaces - W0,1,18,
2.20492,,Spot,Selected Surfaces - W0,1,19,
1.87545,,Spot,Selected Surfaces - W0,1,20,
0.587083,,Spot,Selected Surfaces - W0,1,21,
2.30402,,Spot,Selected Surfaces - W0,1,22,
3.14196,,Spot,Selected Surfaces - W0,1,23,
1.12772,,Spot,Selected Surfaces - W0,1,24,
1.86049,,Spot,Selected Surfaces - W0,1,25,
3.0127,,Spot,Selected Surfaces - W0,1,26,
1.20254,,Spot,Selected Surfaces - W0,1,27,
1.80251,,Spot,Selected Surfaces - W0,1,28,
4.89131,,Spot,Selected Surfaces - W0,1,29,
1.7562,,Spot,Selected Surfaces - W0,1,30,
1.76125,,Spot,Selected Surfaces - W0,1,31,
2.34833,,Spot,Selected Surfaces - W0,1,32,
2.76122,,Spot,Selected Surfaces - W0,1,33,
2.31818,,Spot,Selected Surfaces - W0,1,34,
0.928247,,Spot,Selected Surfaces - W0,1,35,
0.415161,,Spot,Selected Surfaces - W0,1,36,
1.42082,,Spot,Selected Surfaces - W0,1,37,
10.8421,,Spot,Selected Surfaces - W0,1,38,
2.10871,,Spot,Selected Surfaces - W0,1,39,
1.45953,,Spot,Selected Surfaces - W0,1,40,
1.73902,,Spot,Selected Surfaces - W0,1,41,
1.42417,,Spot,Selected Surfaces - W0,1,42,
1.43493,,Spot,Selected Surfaces - W0,1,43,
1.44316,,Spot,Selected Surfaces - W0,1,44,
3.71079,,Spot,Selected Surfaces - W0,1,45,
4.65017,,Spot,Selected Surfaces - W0,1,46,
1.87179,,Spot,Selected Surfaces - W0,1,47,
4.33223,,Spot,Selected Surfaces - W0,1,48,
4.0082,,Spot,Selected Surfaces - W0,1,49,
1.80009,,Spot,Selected Surfaces - W0,1,50,
4.73713,,Spot,Selected Surfaces - W0,1,51,
4.69668,,Spot,Selected Surfaces - W0,1,52,
3.14033,,Spot,Selected Surfaces - W0,1,53,
1.80009,,Spot,Selected Surfaces - W0,1,54,
4.23781,,Spot,Selected Surfaces - W0,1,55,
1.36294,,Spot,Selected Surfaces - W0,1,56,
1.36443,,Spot,Selected Surfaces - W0,1,57,
1.35209,,Spot,Selected Surfaces - W0,1,58,
1.31276,,Spot,Selected Surfaces - W0,1,59,
13.6174,,Spot,Selected Surfaces - W0,1,60,
4.49037,,Spot,Selected Surfaces - W0,1,61,
2.6389,,Spot,Selected Surfaces - W0,1,62,
1.76749,,Spot,Selected Surfaces - W0,1,63,
0.93972,,Spot,Selected Surfaces - W0,1,64,
3.5759,,Spot,Selected Surfaces - W0,1,65,
2.506,,Spot,Selected Surfaces - W0,1,66,
1.65028,,Spot,Selected Surfaces - W0,1,67,
1.15959,,Spot,Selected Surfaces - W0,1,68,
5.55104,,Spot,Selected Surfaces - W0,1,69,
3.87746,,Spot,Selected Surfaces - W0,1,70,
12.5934,,Spot,Selected Surfaces - W0,1,71,
2.99963,,Spot,Selected Surfaces - W0,1,72,
1.71163,,Spot,Selected Surfaces - W0,1,73,
5.50424,,Spot,Selected Surfaces - W0,1,74,
1.63581,,Spot,Selected Surfaces - W0,1,75,
11.9311,,Spot,Selected Surfaces - W0,1,76,
3.81572,,Spot,Selected Surfaces - W0,1,77,
