
Detailed
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
4.09314,,Spot,Selected Surfaces - W0,1,0,
2.95889,,Spot,Selected Surfaces - W0,1,1,
3.62407,,Spot,Selected Surfaces - W0,1,2,
3.70846,,Spot,Selected Surfaces - W0,1,3,
3.49311,,Spot,Selected Surfaces - W0,1,4,
3.64806,,Spot,Selected Surfaces - W0,1,5,
4.06326,,Spot,Selected Surfaces - W0,1,6,
2.304,,Spot,Selected Surfaces - W0,1,7,
2.42255,,Spot,Selected Surfaces - W0,1,8,
4.23783,,Spot,Selected Surfaces - W0,1,9,
2.52517,,Spot,Selected Surfaces - W0,1,10,
2.74628,,Spot,Selected Surfaces - W0,1,11,
5.92862,,Spot,Selected Surfaces - W0,1,12,
2.53204,,Spot,Selected Surfaces - W0,1,13,
3.43213,,Spot,Selected Surfaces - W0,1,14,
2.62552,,Spot,Selected Surfaces - W0,1,15,
3.98666,,Spot,Selected Surfaces - W0,1,16,
4.25812,,Spot,Selected Surfaces - W0,1,17,
4.35836,,Spot,Selected Surfaces - W0,1,18,
3.2423,,Spot,Selected Surfaces - W0,1,19,
2.07568,,Spot,Selected Surfaces - W0,1,20,
6.4941,,Spot,Selected Surfaces - W0,1,21,
3.35981,,Spot,Selected Surfaces - W0,1,22,
2.93108,,Spot,Selected Surfaces - W0,1,23,
4.96152,,Spot,Selected Surfaces - W0,1,24,
5.46376,,Spot,Selected Surfaces - W0,1,25,
3.42858,,Spot,Selected Surfaces - W0,1,26,
4.51088,,Spot,Selected Surfaces - W0,1,27,
2.65815,,Spot,Selected Surfaces - W0,1,28,
3.02223,,Spot,Selected Surfaces - W0,1,29,
3.15618,,Spot,Selected Surfaces - W0,1,30,
2.99964,,Spot,Selected Surfaces - W0,1,31,
5.59804,,Spot,Selected Surfaces - W0,1,32,
3.7701,,Spot,Selected Surfaces - W0,1,33,
3.30305,,Spot,Selected Surfaces - W0,1,34,
2.29966,,Spot,Selected Surfaces - W0,1,35,
4.41292,,Spot,Selected Surfaces - W0,1,36,
2.59129,,Spot,Selected Surfaces - W0,1,37,
3.95582,,Spot,Selected Surfaces - W0,1,38,
3.15617,,Spot,Selected Surfaces - W0,1,39,
2.99357,,Spot,Selected Surfaces - W0,1,40,
4.09302,,Spot,Selected Surfaces - W0,1,41,
5.84474,,Spot,Selected Surfaces - W0,1,42,
6.86137,,Spot,Selected Surfaces - W0,1,43,
3.71517,,Spot,Selected Surfaces - W0,1,44,
4.6804,,Spot,Selected Surfaces - W0,1,45,
4.19722,,Spot,Selected Surfaces - W0,1,46,
2.99961,,Spot,Selected Surfaces - W0,1,47,
3.89893,,Spot,Selected Surfaces - W0,1,48,
3.31417,,Spot,Selected Surfaces - W0,1,49,
3.1011,,Spot,Selected Surfaces - W0,1,50,
2.93546,,Spot,Selected Surfaces - W0,1,51,
3.80953,,Spot,Selected Surfaces - W0,1,52,
4.19724,,Spot,Selected Surfaces - W0,1,53,
4.33413,,Spot,Selected Surfaces - W0,1,54,
4.23154,,Spot,Selected Surfaces - W0,1,55,
4.01872,,Spot,Selected Surfaces - W0,1,56,
3.89152,,Spot,Selected Surfaces - W0,1,57,
3.87853,,Spot,Selected Surfaces - W0,1,58,
2.71027,,Spot,Selected Surfaces - W0,1,59,
2.95892,,Spot,Selected Surfaces - W0,1,60,
2.60535,,Spot,Selected Surfaces - W0,1,61,
3.1011,,Spot,Selected Surfaces - W0,1,62,
5.08544,,Spot,Selected Surfaces - W0,1,63,
3.05708,,Spot,Selected Surfaces - W0,1,64,
4.27406,,Spot,Selected Surfaces - W0,1,65,
3.58346,,Spot,Selected Surfaces - W0,1,66,
4.64213,,Spot,Selected Surfaces - W0,1,67,
2.08123,,Spot,Selected Surfaces - W0,1,68,
4.49463,,Spot,Selected Surfaces - W0,1,69,
4.05321,,Spot,Selected Surfaces - W0,1,70,
1.36443,,Spot,Selected Surfaces - W0,1,71,
4.37885,,Spot,Selected Surfaces - W0,1,72,
2.48535,,Spot,Selected Surfaces - W0,1,73,
3.89893,,Spot,Selected Surfaces - W0,1,74,
3.49309,,Spot,Selected Surfaces - W0,1,75,
6.65587,,Spot,Selected Surfaces - W0,1,76,
3.9384,,Spot,Selected Surfaces - W0,1,77,
3.91061,,Spot,Selected Surfaces - W0,1,78,
5.21552,,Spot,Selected Surfaces - W0,1,79,
4.22514,,Spot,Selected Surfaces - W0,1,80,
5.91569,,Spot,Selected Surfaces - W0,1,81,
3.10108,,Spot,Selected Surfaces - W0,1,82,
3.42325,,Spot,Selected Surfaces - W0,1,83,
3.53868,,Spot,Selected Surfaces - W0,1,84,
1.98234,,Spot,Selected Surfaces - W0,1,85,
3.48868,,Spot,Selected Surfaces - W0,1,86,
3.20216,,Spot,Selected Surfaces - W0,1,87,
6.71816,,Spot,Selected Surfaces - W0,1,88,
7.14235,,Spot,Selected Surfaces - W0,1,89,
2.16549,,Spot,Selected Surfaces - W0,1,90,
3.75917,,Spot,Selected Surfaces - W0,1,91,
3.35268,,Spot,Selected Surfaces - W0,1,92,
3.74107,,Spot,Selected Surfaces - W0,1,93,
4.55178,,Spot,Selected Surfaces - W0,1,94,
4.38946,,Spot,Selected Surfaces - W0,1,95,
6.46988,,Spot,Selected Surfaces - W0,1,96,
2.80951,,Spot,Selected Surfaces - W0,1,97,
3.34926,,Spot,Selected Surfaces - W0,1,98,
3.69026,,Spot,Selected Surfaces - W0,1,99,
4.94412,,Spot,Selected Surfaces - W0,1,100,
5.21552,,Spot,Selected Surfaces - W0,1,101,
6.51199,,Spot,Selected Surfaces - W0,1,102,
3.13847,,Spot,Selected Surfaces - W0,1,103,
2.99357,,Spot,Selected Surfaces - W0,1,104,
3.65853,,Spot,Selected Surfaces - W0,1,105,
4.41729,,Spot,Selected Surfaces - W0,1,106,
4.86296,,Spot,Selected Surfaces - W0,1,107,
