
Detailed
 ==================== 
Area,Unit,Category,Time,ID,
1.13829,µm^2,Surface,1,0,
1.92523,µm^2,Surface,1,1,
3.53256,µm^2,Surface,1,2,
0.146998,µm^2,Surface,1,3,
0.0802179,µm^2,Surface,1,4,
0.925056,µm^2,Surface,1,5,
0.00344577,µm^2,Surface,1,6,
1.01614,µm^2,Surface,1,7,
1.08584,µm^2,Surface,1,8,
0.0619428,µm^2,Surface,1,9,
14.0058,µm^2,Surface,1,10,
0.281729,µm^2,Surface,1,11,
0.119987,µm^2,Surface,1,12,
1.08796,µm^2,Surface,1,13,
0.0950539,µm^2,Surface,1,14,
3.32335,µm^2,Surface,1,15,
0.0193985,µm^2,Surface,1,16,
0.00643399,µm^2,Surface,1,17,
0.101694,µm^2,Surface,1,18,
0.00643537,µm^2,Surface,1,19,
0.176972,µm^2,Surface,1,20,
0.13713,µm^2,Surface,1,21,
0.576879,µm^2,Surface,1,22,
0.0385282,µm^2,Surface,1,23,
0.281632,µm^2,Surface,1,24,
18.7701,µm^2,Surface,1,25,
3.19115,µm^2,Surface,1,26,
0.220218,µm^2,Surface,1,27,
1.5957,µm^2,Surface,1,28,
0.149452,µm^2,Surface,1,29,
0.0278049,µm^2,Surface,1,30,
1.58862,µm^2,Surface,1,31,
1.03442,µm^2,Surface,1,32,
0.794456,µm^2,Surface,1,33,
0.589214,µm^2,Surface,1,34,
14.373,µm^2,Surface,1,35,
0.315496,µm^2,Surface,1,36,
0.143518,µm^2,Surface,1,37,
0.0992956,µm^2,Surface,1,38,
23.286,µm^2,Surface,1,39,
1.40026,µm^2,Surface,1,40,
0.04293,µm^2,Surface,1,41,
16.8184,µm^2,Surface,1,42,
0.111507,µm^2,Surface,1,43,
23.7401,µm^2,Surface,1,44,
0.0147993,µm^2,Surface,1,45,
5.91994,µm^2,Surface,1,46,
0.846775,µm^2,Surface,1,47,
5.78097,µm^2,Surface,1,48,
5.99503e-05,µm^2,Surface,1,49,
0.458263,µm^2,Surface,1,50,
9.75788,µm^2,Surface,1,51,
0.00637195,µm^2,Surface,1,52,
11.8471,µm^2,Surface,1,53,
23.5541,µm^2,Surface,1,54,
13.682,µm^2,Surface,1,55,
0.494962,µm^2,Surface,1,56,
4.82377,µm^2,Surface,1,57,
0.0078331,µm^2,Surface,1,58,
0.0756223,µm^2,Surface,1,59,
0.0468974,µm^2,Surface,1,60,
0.0120846,µm^2,Surface,1,61,
3.30545,µm^2,Surface,1,62,
10.653,µm^2,Surface,1,63,
0.459832,µm^2,Surface,1,64,
0.310788,µm^2,Surface,1,65,
0.277615,µm^2,Surface,1,66,
0.605596,µm^2,Surface,1,67,
1.44116,µm^2,Surface,1,68,
0.322428,µm^2,Surface,1,69,
0.192807,µm^2,Surface,1,70,
1.25e-06,µm^2,Surface,1,71,
0.140973,µm^2,Surface,1,72,
0.0393716,µm^2,Surface,1,73,
0.0808852,µm^2,Surface,1,74,
0.370578,µm^2,Surface,1,75,
0.00816318,µm^2,Surface,1,76,
0.171332,µm^2,Surface,1,77,
2.7435,µm^2,Surface,1,78,
0.370777,µm^2,Surface,1,79,
16.9515,µm^2,Surface,1,80,
4.8551,µm^2,Surface,1,81,
0.0895604,µm^2,Surface,1,82,
3.18338,µm^2,Surface,1,83,
0.045224,µm^2,Surface,1,84,
0.737685,µm^2,Surface,1,85,
0.0961033,µm^2,Surface,1,86,
0.00657997,µm^2,Surface,1,87,
2.33016,µm^2,Surface,1,88,
0.00670586,µm^2,Surface,1,89,
0.0731219,µm^2,Surface,1,90,
0.102932,µm^2,Surface,1,91,
3.71916,µm^2,Surface,1,92,
1.08825,µm^2,Surface,1,93,
0.130825,µm^2,Surface,1,94,
0.0676573,µm^2,Surface,1,95,
1.66537,µm^2,Surface,1,96,
0.307978,µm^2,Surface,1,97,
0.00564225,µm^2,Surface,1,98,
0.0309103,µm^2,Surface,1,99,
15.9036,µm^2,Surface,1,100,
1.75435,µm^2,Surface,1,101,
10.1088,µm^2,Surface,1,102,
1.19692,µm^2,Surface,1,103,
0.295782,µm^2,Surface,1,104,
4.59742,µm^2,Surface,1,105,
0.0408217,µm^2,Surface,1,106,
40.5855,µm^2,Surface,1,107,
0.00658695,µm^2,Surface,1,108,
4.68395,µm^2,Surface,1,109,
0.00740137,µm^2,Surface,1,110,
1.36593,µm^2,Surface,1,111,
0.469294,µm^2,Surface,1,112,
0.0983388,µm^2,Surface,1,113,
0.0178769,µm^2,Surface,1,114,
6.59412,µm^2,Surface,1,115,
0.021876,µm^2,Surface,1,116,
0.00914441,µm^2,Surface,1,117,
9.91628,µm^2,Surface,1,118,
13.7059,µm^2,Surface,1,119,
0.000360018,µm^2,Surface,1,120,
4.79189,µm^2,Surface,1,121,
10.4311,µm^2,Surface,1,122,
0.074964,µm^2,Surface,1,123,
10.7531,µm^2,Surface,1,124,
0.0418052,µm^2,Surface,1,125,
0.694575,µm^2,Surface,1,126,
0.0465532,µm^2,Surface,1,127,
3.86711,µm^2,Surface,1,128,
0.0782527,µm^2,Surface,1,129,
0.00013146,µm^2,Surface,1,130,
0.142506,µm^2,Surface,1,131,
0.336385,µm^2,Surface,1,132,
0.13418,µm^2,Surface,1,133,
0.455136,µm^2,Surface,1,134,
1.04979,µm^2,Surface,1,135,
5.71093,µm^2,Surface,1,136,
0.0320589,µm^2,Surface,1,137,
0.17457,µm^2,Surface,1,138,
0.204103,µm^2,Surface,1,139,
1.67827,µm^2,Surface,1,140,
0.241013,µm^2,Surface,1,141,
0.204075,µm^2,Surface,1,142,
0.220712,µm^2,Surface,1,143,
2.84673,µm^2,Surface,1,144,
0.182471,µm^2,Surface,1,145,
0.039206,µm^2,Surface,1,146,
1.14261,µm^2,Surface,1,147,
3.59863,µm^2,Surface,1,148,
0.262636,µm^2,Surface,1,149,
0.209447,µm^2,Surface,1,150,
0.00465329,µm^2,Surface,1,151,
8.65854,µm^2,Surface,1,152,
3.90507,µm^2,Surface,1,153,
1.58004,µm^2,Surface,1,154,
2.21622,µm^2,Surface,1,155,
0.000445787,µm^2,Surface,1,156,
26.1596,µm^2,Surface,1,157,
0.742322,µm^2,Surface,1,158,
0.68524,µm^2,Surface,1,159,
0.755633,µm^2,Surface,1,160,
0.502261,µm^2,Surface,1,161,
1.57127,µm^2,Surface,1,162,
0.275655,µm^2,Surface,1,163,
4.08573,µm^2,Surface,1,164,
0.424059,µm^2,Surface,1,165,
0.042341,µm^2,Surface,1,166,
3.49988,µm^2,Surface,1,167,
0.000295817,µm^2,Surface,1,168,
2.90258,µm^2,Surface,1,169,
0.00290463,µm^2,Surface,1,170,
0.32967,µm^2,Surface,1,171,
0.0753755,µm^2,Surface,1,172,
0.00414197,µm^2,Surface,1,173,
0.0405028,µm^2,Surface,1,174,
0.608117,µm^2,Surface,1,175,
0.0184827,µm^2,Surface,1,176,
0.666846,µm^2,Surface,1,177,
0.407628,µm^2,Surface,1,178,
0.138107,µm^2,Surface,1,179,
2.38238,µm^2,Surface,1,180,
0.285071,µm^2,Surface,1,181,
10.4063,µm^2,Surface,1,182,
0.777882,µm^2,Surface,1,183,
4.56906,µm^2,Surface,1,184,
0.0271121,µm^2,Surface,1,185,
22.7786,µm^2,Surface,1,186,
0.192899,µm^2,Surface,1,187,
0.0650248,µm^2,Surface,1,188,
0.161678,µm^2,Surface,1,189,
0.0205807,µm^2,Surface,1,190,
0.165763,µm^2,Surface,1,191,
0.0290507,µm^2,Surface,1,192,
0.0147163,µm^2,Surface,1,193,
0.491839,µm^2,Surface,1,194,
32.6767,µm^2,Surface,1,195,
0.403816,µm^2,Surface,1,196,
0.713026,µm^2,Surface,1,197,
23.3302,µm^2,Surface,1,198,
1.44862,µm^2,Surface,1,199,
0.112766,µm^2,Surface,1,200,
0.0105579,µm^2,Surface,1,201,
0.104719,µm^2,Surface,1,202,
0.000739105,µm^2,Surface,1,203,
0.0679689,µm^2,Surface,1,204,
1.97802,µm^2,Surface,1,205,
0.100856,µm^2,Surface,1,206,
0.156731,µm^2,Surface,1,207,
0.306772,µm^2,Surface,1,208,
0.0277883,µm^2,Surface,1,209,
0.365345,µm^2,Surface,1,210,
0.00599849,µm^2,Surface,1,211,
0.647511,µm^2,Surface,1,212,
0.0378746,µm^2,Surface,1,213,
0.637568,µm^2,Surface,1,214,
0.0224126,µm^2,Surface,1,215,
12.4827,µm^2,Surface,1,216,
0.471761,µm^2,Surface,1,217,
0.107958,µm^2,Surface,1,218,
18.2327,µm^2,Surface,1,219,
0.0666561,µm^2,Surface,1,220,
0.0925609,µm^2,Surface,1,221,
6.64238,µm^2,Surface,1,222,
0.421278,µm^2,Surface,1,223,
22.7633,µm^2,Surface,1,224,
2.58244,µm^2,Surface,1,225,
27.7758,µm^2,Surface,1,226,
0.166951,µm^2,Surface,1,227,
0.00286254,µm^2,Surface,1,228,
1.27067,µm^2,Surface,1,229,
0.00204858,µm^2,Surface,1,230,
0.0772709,µm^2,Surface,1,231,
3.51551,µm^2,Surface,1,232,
0.239862,µm^2,Surface,1,233,
0.0446664,µm^2,Surface,1,234,
0.262152,µm^2,Surface,1,235,
5.80302,µm^2,Surface,1,236,
0.0296414,µm^2,Surface,1,237,
4.97804,µm^2,Surface,1,238,
0.25734,µm^2,Surface,1,239,
9.0039,µm^2,Surface,1,240,
0.000708959,µm^2,Surface,1,241,
0.00153129,µm^2,Surface,1,242,
0.00718516,µm^2,Surface,1,243,
5.19918,µm^2,Surface,1,244,
0.105811,µm^2,Surface,1,245,
8.61191,µm^2,Surface,1,246,
13.8334,µm^2,Surface,1,247,
0.874893,µm^2,Surface,1,248,
2.71095,µm^2,Surface,1,249,
0.372078,µm^2,Surface,1,250,
35.4254,µm^2,Surface,1,251,
0.244544,µm^2,Surface,1,252,
0.0511865,µm^2,Surface,1,253,
0.551409,µm^2,Surface,1,254,
0.000155678,µm^2,Surface,1,255,
0.0487992,µm^2,Surface,1,256,
0.0941206,µm^2,Surface,1,257,
0.36225,µm^2,Surface,1,258,
0.944415,µm^2,Surface,1,259,
9.91086,µm^2,Surface,1,260,
0.0706958,µm^2,Surface,1,261,
10.2992,µm^2,Surface,1,262,
0.029622,µm^2,Surface,1,263,
1.79559,µm^2,Surface,1,264,
0.106985,µm^2,Surface,1,265,
0.902432,µm^2,Surface,1,266,
0.593334,µm^2,Surface,1,267,
0.0674571,µm^2,Surface,1,268,
0.763401,µm^2,Surface,1,269,
0.0435158,µm^2,Surface,1,270,
6.36888,µm^2,Surface,1,271,
1.48961,µm^2,Surface,1,272,
2.78153,µm^2,Surface,1,273,
16.1956,µm^2,Surface,1,274,
1.36462,µm^2,Surface,1,275,
0.575858,µm^2,Surface,1,276,
0.799967,µm^2,Surface,1,277,
0.00892399,µm^2,Surface,1,278,
0.0104126,µm^2,Surface,1,279,
1.00426,µm^2,Surface,1,280,
0.422483,µm^2,Surface,1,281,
0.762227,µm^2,Surface,1,282,
1.49804,µm^2,Surface,1,283,
0.000978622,µm^2,Surface,1,284,
22.7227,µm^2,Surface,1,285,
0.512447,µm^2,Surface,1,286,
0.0636882,µm^2,Surface,1,287,
0.117783,µm^2,Surface,1,288,
0.00728698,µm^2,Surface,1,289,
