
Detailed
 ==================== 
Area,Unit,Category,Time,ID,
0.153468,µm^2,Surface,1,0,
1.13271,µm^2,Surface,1,1,
0.000615353,µm^2,Surface,1,2,
0.00999563,µm^2,Surface,1,3,
1.70189,µm^2,Surface,1,4,
0.62748,µm^2,Surface,1,5,
0.0124562,µm^2,Surface,1,6,
3.82186,µm^2,Surface,1,7,
0.484862,µm^2,Surface,1,8,
0.240927,µm^2,Surface,1,9,
18.7689,µm^2,Surface,1,10,
0.0555374,µm^2,Surface,1,11,
2.83787,µm^2,Surface,1,12,
1.59381,µm^2,Surface,1,13,
0.00660093,µm^2,Surface,1,14,
0.00346425,µm^2,Surface,1,15,
0.024642,µm^2,Surface,1,16,
0.0189663,µm^2,Surface,1,17,
0.414499,µm^2,Surface,1,18,
3.90036,µm^2,Surface,1,19,
0.160609,µm^2,Surface,1,20,
0.0148251,µm^2,Surface,1,21,
0.180554,µm^2,Surface,1,22,
2.25609,µm^2,Surface,1,23,
19.1844,µm^2,Surface,1,24,
1.2651,µm^2,Surface,1,25,
0.00882815,µm^2,Surface,1,26,
0.161994,µm^2,Surface,1,27,
0.285925,µm^2,Surface,1,28,
0.0650697,µm^2,Surface,1,29,
6.72435,µm^2,Surface,1,30,
0.00192521,µm^2,Surface,1,31,
5.32133,µm^2,Surface,1,32,
8.5408,µm^2,Surface,1,33,
0.00712827,µm^2,Surface,1,34,
0.02043,µm^2,Surface,1,35,
1.45028,µm^2,Surface,1,36,
2.83582,µm^2,Surface,1,37,
0.00971401,µm^2,Surface,1,38,
0.000196167,µm^2,Surface,1,39,
0.00948629,µm^2,Surface,1,40,
0.00750522,µm^2,Surface,1,41,
2.51904,µm^2,Surface,1,42,
0.0705444,µm^2,Surface,1,43,
0.211837,µm^2,Surface,1,44,
3.56871,µm^2,Surface,1,45,
0.22279,µm^2,Surface,1,46,
13.0908,µm^2,Surface,1,47,
0.238268,µm^2,Surface,1,48,
16.5929,µm^2,Surface,1,49,
1.52889,µm^2,Surface,1,50,
0.0681293,µm^2,Surface,1,51,
0.0783587,µm^2,Surface,1,52,
0.0139513,µm^2,Surface,1,53,
0.123013,µm^2,Surface,1,54,
0.00398037,µm^2,Surface,1,55,
9.31562,µm^2,Surface,1,56,
0.116274,µm^2,Surface,1,57,
0.338295,µm^2,Surface,1,58,
0.258116,µm^2,Surface,1,59,
0.00204831,µm^2,Surface,1,60,
0.0969879,µm^2,Surface,1,61,
0.0967419,µm^2,Surface,1,62,
0.251858,µm^2,Surface,1,63,
0.720633,µm^2,Surface,1,64,
0.0462018,µm^2,Surface,1,65,
2.57738,µm^2,Surface,1,66,
0.147776,µm^2,Surface,1,67,
0.129241,µm^2,Surface,1,68,
0.0149402,µm^2,Surface,1,69,
0.197549,µm^2,Surface,1,70,
12.4442,µm^2,Surface,1,71,
0.0287145,µm^2,Surface,1,72,
0.232328,µm^2,Surface,1,73,
0.136259,µm^2,Surface,1,74,
2.10945,µm^2,Surface,1,75,
0.0348387,µm^2,Surface,1,76,
4.32635,µm^2,Surface,1,77,
0.0232056,µm^2,Surface,1,78,
2.55649,µm^2,Surface,1,79,
7.19981,µm^2,Surface,1,80,
0.538155,µm^2,Surface,1,81,
1.10891,µm^2,Surface,1,82,
0.0507401,µm^2,Surface,1,83,
3.81861,µm^2,Surface,1,84,
1.03137,µm^2,Surface,1,85,
3.34473,µm^2,Surface,1,86,
0.37637,µm^2,Surface,1,87,
0.0545073,µm^2,Surface,1,88,
0.108447,µm^2,Surface,1,89,
0.131389,µm^2,Surface,1,90,
0.144756,µm^2,Surface,1,91,
0.201757,µm^2,Surface,1,92,
0.363961,µm^2,Surface,1,93,
6.99218,µm^2,Surface,1,94,
0.0762142,µm^2,Surface,1,95,
0.439927,µm^2,Surface,1,96,
0.0302401,µm^2,Surface,1,97,
0.0728587,µm^2,Surface,1,98,
0.706543,µm^2,Surface,1,99,
0.0926085,µm^2,Surface,1,100,
0.282734,µm^2,Surface,1,101,
0.40838,µm^2,Surface,1,102,
0.261672,µm^2,Surface,1,103,
0.0221236,µm^2,Surface,1,104,
0.0907476,µm^2,Surface,1,105,
0.0976934,µm^2,Surface,1,106,
13.3256,µm^2,Surface,1,107,
8.03936,µm^2,Surface,1,108,
7.52787,µm^2,Surface,1,109,
0.0917539,µm^2,Surface,1,110,
5.76577,µm^2,Surface,1,111,
0.00765342,µm^2,Surface,1,112,
0.0271896,µm^2,Surface,1,113,
1.56826,µm^2,Surface,1,114,
0.191565,µm^2,Surface,1,115,
0.236372,µm^2,Surface,1,116,
0.118722,µm^2,Surface,1,117,
0.0125134,µm^2,Surface,1,118,
0.153734,µm^2,Surface,1,119,
0.0529106,µm^2,Surface,1,120,
3.97202,µm^2,Surface,1,121,
0.00100239,µm^2,Surface,1,122,
0.000107886,µm^2,Surface,1,123,
0.00944144,µm^2,Surface,1,124,
4.24716,µm^2,Surface,1,125,
0.089348,µm^2,Surface,1,126,
0.0198865,µm^2,Surface,1,127,
1.72452,µm^2,Surface,1,128,
0.45418,µm^2,Surface,1,129,
3.36319,µm^2,Surface,1,130,
0.263511,µm^2,Surface,1,131,
0.088235,µm^2,Surface,1,132,
0.0936957,µm^2,Surface,1,133,
0.287217,µm^2,Surface,1,134,
10.6534,µm^2,Surface,1,135,
0.415788,µm^2,Surface,1,136,
0.0377139,µm^2,Surface,1,137,
0.632583,µm^2,Surface,1,138,
0.0250815,µm^2,Surface,1,139,
0.037106,µm^2,Surface,1,140,
0.00240401,µm^2,Surface,1,141,
0.000993542,µm^2,Surface,1,142,
0.260119,µm^2,Surface,1,143,
0.0282629,µm^2,Surface,1,144,
0.228695,µm^2,Surface,1,145,
0.000896343,µm^2,Surface,1,146,
0.139685,µm^2,Surface,1,147,
1.20264,µm^2,Surface,1,148,
