
Detailed
 ==================== 
Area,Unit,Category,Time,ID,
0.610319,µm^2,Surface,1,0,
0.0163482,µm^2,Surface,1,1,
0.241441,µm^2,Surface,1,2,
0.15409,µm^2,Surface,1,3,
0.75894,µm^2,Surface,1,4,
0.0409505,µm^2,Surface,1,5,
0.0652108,µm^2,Surface,1,6,
0.912234,µm^2,Surface,1,7,
0.0306986,µm^2,Surface,1,8,
0.851478,µm^2,Surface,1,9,
1.81676,µm^2,Surface,1,10,
0.116011,µm^2,Surface,1,11,
0.00343106,µm^2,Surface,1,12,
0.0118553,µm^2,Surface,1,13,
0.189102,µm^2,Surface,1,14,
0.284293,µm^2,Surface,1,15,
2.98536,µm^2,Surface,1,16,
0.654268,µm^2,Surface,1,17,
0.381157,µm^2,Surface,1,18,
0.24881,µm^2,Surface,1,19,
0.570376,µm^2,Surface,1,20,
0.16665,µm^2,Surface,1,21,
0.0933841,µm^2,Surface,1,22,
0.0187489,µm^2,Surface,1,23,
0.469733,µm^2,Surface,1,24,
0.402067,µm^2,Surface,1,25,
0.0888204,µm^2,Surface,1,26,
0.429292,µm^2,Surface,1,27,
0.314273,µm^2,Surface,1,28,
0.0999148,µm^2,Surface,1,29,
0.2104,µm^2,Surface,1,30,
0.207501,µm^2,Surface,1,31,
0.375885,µm^2,Surface,1,32,
0.545396,µm^2,Surface,1,33,
0.0501777,µm^2,Surface,1,34,
0.0756802,µm^2,Surface,1,35,
0.0259991,µm^2,Surface,1,36,
0.226716,µm^2,Surface,1,37,
0.744527,µm^2,Surface,1,38,
1.66645,µm^2,Surface,1,39,
0.467204,µm^2,Surface,1,40,
0.0411689,µm^2,Surface,1,41,
0.0271954,µm^2,Surface,1,42,
1.9369,µm^2,Surface,1,43,
0.126596,µm^2,Surface,1,44,
0.73252,µm^2,Surface,1,45,
0.3219,µm^2,Surface,1,46,
0.437382,µm^2,Surface,1,47,
0.203931,µm^2,Surface,1,48,
0.360577,µm^2,Surface,1,49,
0.839846,µm^2,Surface,1,50,
0.0205256,µm^2,Surface,1,51,
6.86034e-05,µm^2,Surface,1,52,
0.145716,µm^2,Surface,1,53,
0.881032,µm^2,Surface,1,54,
4.16997,µm^2,Surface,1,55,
1.93123,µm^2,Surface,1,56,
0.955137,µm^2,Surface,1,57,
0.0138242,µm^2,Surface,1,58,
2.28065,µm^2,Surface,1,59,
2.7486,µm^2,Surface,1,60,
0.00174126,µm^2,Surface,1,61,
3.36452,µm^2,Surface,1,62,
0.378977,µm^2,Surface,1,63,
2.08582,µm^2,Surface,1,64,
0.296082,µm^2,Surface,1,65,
0.00680056,µm^2,Surface,1,66,
2.80135,µm^2,Surface,1,67,
0.0916161,µm^2,Surface,1,68,
0.203573,µm^2,Surface,1,69,
2.66912,µm^2,Surface,1,70,
1.05604,µm^2,Surface,1,71,
0.0848996,µm^2,Surface,1,72,
0.193445,µm^2,Surface,1,73,
0.0393458,µm^2,Surface,1,74,
0.0342101,µm^2,Surface,1,75,
0.540022,µm^2,Surface,1,76,
0.00352074,µm^2,Surface,1,77,
0.00013943,µm^2,Surface,1,78,
0.832954,µm^2,Surface,1,79,
1.21899,µm^2,Surface,1,80,
0.0131991,µm^2,Surface,1,81,
1.08691,µm^2,Surface,1,82,
0.001906,µm^2,Surface,1,83,
1.71228,µm^2,Surface,1,84,
1.37666,µm^2,Surface,1,85,
0.0748911,µm^2,Surface,1,86,
0.0935277,µm^2,Surface,1,87,
0.653807,µm^2,Surface,1,88,
2.13577,µm^2,Surface,1,89,
0.0372307,µm^2,Surface,1,90,
0.167404,µm^2,Surface,1,91,
3.83249,µm^2,Surface,1,92,
0.41893,µm^2,Surface,1,93,
0.000556512,µm^2,Surface,1,94,
0.0473124,µm^2,Surface,1,95,
0.00574703,µm^2,Surface,1,96,
0.00569803,µm^2,Surface,1,97,
0.0302023,µm^2,Surface,1,98,
2.9166,µm^2,Surface,1,99,
0.0613383,µm^2,Surface,1,100,
0.692942,µm^2,Surface,1,101,
0.00619658,µm^2,Surface,1,102,
0.406558,µm^2,Surface,1,103,
0.073747,µm^2,Surface,1,104,
0.405383,µm^2,Surface,1,105,
0.00243062,µm^2,Surface,1,106,
0.0014109,µm^2,Surface,1,107,
0.371362,µm^2,Surface,1,108,
0.0171535,µm^2,Surface,1,109,
0.000997123,µm^2,Surface,1,110,
0.0611822,µm^2,Surface,1,111,
0.0163437,µm^2,Surface,1,112,
0.112105,µm^2,Surface,1,113,
0.471873,µm^2,Surface,1,114,
0.0585782,µm^2,Surface,1,115,
0.216812,µm^2,Surface,1,116,
1.48818,µm^2,Surface,1,117,
0.106987,µm^2,Surface,1,118,
0.150248,µm^2,Surface,1,119,
0.0164881,µm^2,Surface,1,120,
1.13546,µm^2,Surface,1,121,
0.799013,µm^2,Surface,1,122,
0.00489066,µm^2,Surface,1,123,
0.134545,µm^2,Surface,1,124,
0.140359,µm^2,Surface,1,125,
0.47784,µm^2,Surface,1,126,
0.791499,µm^2,Surface,1,127,
0.000633128,µm^2,Surface,1,128,
2.4306,µm^2,Surface,1,129,
0.19812,µm^2,Surface,1,130,
0.276457,µm^2,Surface,1,131,
0.353262,µm^2,Surface,1,132,
0.0240872,µm^2,Surface,1,133,
0.978623,µm^2,Surface,1,134,
0.0307736,µm^2,Surface,1,135,
0.100614,µm^2,Surface,1,136,
0.130925,µm^2,Surface,1,137,
0.185932,µm^2,Surface,1,138,
0.019571,µm^2,Surface,1,139,
0.00272927,µm^2,Surface,1,140,
0.14265,µm^2,Surface,1,141,
0.00269913,µm^2,Surface,1,142,
0.0205474,µm^2,Surface,1,143,
0.930262,µm^2,Surface,1,144,
15.4065,µm^2,Surface,1,145,
0.341183,µm^2,Surface,1,146,
0.0694986,µm^2,Surface,1,147,
0.37899,µm^2,Surface,1,148,
1.49053,µm^2,Surface,1,149,
0.076713,µm^2,Surface,1,150,
3.29589,µm^2,Surface,1,151,
0.317124,µm^2,Surface,1,152,
0.0442349,µm^2,Surface,1,153,
1.57115,µm^2,Surface,1,154,
0.0926743,µm^2,Surface,1,155,
0.875142,µm^2,Surface,1,156,
0.0736361,µm^2,Surface,1,157,
0.390015,µm^2,Surface,1,158,
3.00477,µm^2,Surface,1,159,
0.0268348,µm^2,Surface,1,160,
3.90277,µm^2,Surface,1,161,
0.928446,µm^2,Surface,1,162,
0.307218,µm^2,Surface,1,163,
0.457577,µm^2,Surface,1,164,
0.279198,µm^2,Surface,1,165,
0.59266,µm^2,Surface,1,166,
0.00389727,µm^2,Surface,1,167,
3.97613,µm^2,Surface,1,168,
6.28069,µm^2,Surface,1,169,
0.256093,µm^2,Surface,1,170,
0.0492135,µm^2,Surface,1,171,
