
Detailed
 ==================== 
Area,Unit,Category,Time,ID,
0.00980256,µm^2,Surface,1,0,
0.0628227,µm^2,Surface,1,1,
0.0247474,µm^2,Surface,1,2,
15.992,µm^2,Surface,1,3,
0.0702847,µm^2,Surface,1,4,
2.14581,µm^2,Surface,1,5,
0.0753204,µm^2,Surface,1,6,
1.03936,µm^2,Surface,1,7,
0.0643658,µm^2,Surface,1,8,
0.0278613,µm^2,Surface,1,9,
0.97539,µm^2,Surface,1,10,
0.383276,µm^2,Surface,1,11,
8.49756,µm^2,Surface,1,12,
13.1453,µm^2,Surface,1,13,
8.06989,µm^2,Surface,1,14,
0.00923176,µm^2,Surface,1,15,
0.00880243,µm^2,Surface,1,16,
4.58288,µm^2,Surface,1,17,
0.0341097,µm^2,Surface,1,18,
0.163269,µm^2,Surface,1,19,
0.17671,µm^2,Surface,1,20,
0.325628,µm^2,Surface,1,21,
0.150679,µm^2,Surface,1,22,
5.89715e-05,µm^2,Surface,1,23,
0.0133935,µm^2,Surface,1,24,
0.052169,µm^2,Surface,1,25,
0.246499,µm^2,Surface,1,26,
0.471334,µm^2,Surface,1,27,
0.625404,µm^2,Surface,1,28,
6.78526,µm^2,Surface,1,29,
8.50449,µm^2,Surface,1,30,
4.42416,µm^2,Surface,1,31,
3.79273,µm^2,Surface,1,32,
0.0221289,µm^2,Surface,1,33,
0.0752931,µm^2,Surface,1,34,
0.0275458,µm^2,Surface,1,35,
0.45427,µm^2,Surface,1,36,
33.1599,µm^2,Surface,1,37,
0.309128,µm^2,Surface,1,38,
0.00261635,µm^2,Surface,1,39,
0.0616001,µm^2,Surface,1,40,
0.264943,µm^2,Surface,1,41,
0.0237687,µm^2,Surface,1,42,
0.0458873,µm^2,Surface,1,43,
1.16127,µm^2,Surface,1,44,
0.839872,µm^2,Surface,1,45,
0.042504,µm^2,Surface,1,46,
6.83879,µm^2,Surface,1,47,
0.0552092,µm^2,Surface,1,48,
4.95365,µm^2,Surface,1,49,
0.0577673,µm^2,Surface,1,50,
5.10473,µm^2,Surface,1,51,
1.0982,µm^2,Surface,1,52,
0.107762,µm^2,Surface,1,53,
0.280163,µm^2,Surface,1,54,
0.0495198,µm^2,Surface,1,55,
0.460621,µm^2,Surface,1,56,
4.88324,µm^2,Surface,1,57,
4.05235,µm^2,Surface,1,58,
0.959719,µm^2,Surface,1,59,
7.19975,µm^2,Surface,1,60,
5.15623,µm^2,Surface,1,61,
0.121004,µm^2,Surface,1,62,
1.82559,µm^2,Surface,1,63,
1.92252,µm^2,Surface,1,64,
0.365226,µm^2,Surface,1,65,
1.85926,µm^2,Surface,1,66,
0.0139229,µm^2,Surface,1,67,
0.932344,µm^2,Surface,1,68,
0.00946961,µm^2,Surface,1,69,
1.84749,µm^2,Surface,1,70,
0.040112,µm^2,Surface,1,71,
0.168705,µm^2,Surface,1,72,
0.219122,µm^2,Surface,1,73,
0.184074,µm^2,Surface,1,74,
0.00475765,µm^2,Surface,1,75,
0.404559,µm^2,Surface,1,76,
1.146,µm^2,Surface,1,77,
0.138592,µm^2,Surface,1,78,
1.81402,µm^2,Surface,1,79,
0.269933,µm^2,Surface,1,80,
0.0515246,µm^2,Surface,1,81,
3.43377,µm^2,Surface,1,82,
25.8312,µm^2,Surface,1,83,
2.69068,µm^2,Surface,1,84,
0.221082,µm^2,Surface,1,85,
0.0739449,µm^2,Surface,1,86,
6.63328,µm^2,Surface,1,87,
13.6532,µm^2,Surface,1,88,
0.0208513,µm^2,Surface,1,89,
0.686652,µm^2,Surface,1,90,
0.0979664,µm^2,Surface,1,91,
0.139195,µm^2,Surface,1,92,
4.00434,µm^2,Surface,1,93,
0.0102499,µm^2,Surface,1,94,
1.94436,µm^2,Surface,1,95,
0.0219034,µm^2,Surface,1,96,
2.55971,µm^2,Surface,1,97,
0.0376795,µm^2,Surface,1,98,
7.1696,µm^2,Surface,1,99,
0.211176,µm^2,Surface,1,100,
5.49703,µm^2,Surface,1,101,
0.00642012,µm^2,Surface,1,102,
1.1889,µm^2,Surface,1,103,
0.61991,µm^2,Surface,1,104,
2.01148,µm^2,Surface,1,105,
0.155092,µm^2,Surface,1,106,
0.175722,µm^2,Surface,1,107,
0.196031,µm^2,Surface,1,108,
0.285569,µm^2,Surface,1,109,
0.145064,µm^2,Surface,1,110,
20.9812,µm^2,Surface,1,111,
0.738904,µm^2,Surface,1,112,
1.35731,µm^2,Surface,1,113,
0.0224543,µm^2,Surface,1,114,
0.369021,µm^2,Surface,1,115,
0.210655,µm^2,Surface,1,116,
0.165645,µm^2,Surface,1,117,
0.0944971,µm^2,Surface,1,118,
0.269487,µm^2,Surface,1,119,
4.67398,µm^2,Surface,1,120,
2.17237,µm^2,Surface,1,121,
0.00838694,µm^2,Surface,1,122,
10.8873,µm^2,Surface,1,123,
2.86029,µm^2,Surface,1,124,
0.1642,µm^2,Surface,1,125,
9.05319,µm^2,Surface,1,126,
0.13094,µm^2,Surface,1,127,
0.144496,µm^2,Surface,1,128,
0.525582,µm^2,Surface,1,129,
0.00470243,µm^2,Surface,1,130,
8.19166e-05,µm^2,Surface,1,131,
0.0192548,µm^2,Surface,1,132,
1.79726,µm^2,Surface,1,133,
0.163271,µm^2,Surface,1,134,
0.0174852,µm^2,Surface,1,135,
0.0721908,µm^2,Surface,1,136,
