 ,Area,Mean,MinThr,MaxThr
1,2889,3.580,3,32767
2,2754,3.524,3,32767
3,2495,3.583,3,32767
4,2492,3.589,3,32767
5,2340,3.547,3,32767
6,2175,3.510,3,32767
7,1744,3.549,3,32767
8,1659,3.561,3,32767
9,1800,3.569,3,32767
10,1808,3.481,3,32767
11,2062,3.421,3,32767
12,1987,3.510,3,32767
13,1717,3.468,3,32767
14,1868,3.493,3,32767
15,1759,3.549,3,32767
16,1978,3.521,3,32767
17,1864,3.489,3,32767
18,1860,3.466,3,32767
19,1609,3.506,3,32767
20,1633,3.552,3,32767
21,1460,3.553,3,32767
22,1588,3.559,3,32767
23,1669,3.530,3,32767
24,1786,3.497,3,32767
25,1477,3.568,3,32767
26,1457,3.550,3,32767
27,1724,3.523,3,32767
28,1475,3.530,3,32767
29,1645,3.527,3,32767
30,1628,3.569,3,32767
31,1652,3.558,3,32767
32,1715,3.578,3,32767
33,1833,3.530,3,32767
34,1605,3.569,3,32767
35,1694,3.532,3,32767
36,1651,3.571,3,32767
37,1546,3.561,3,32767
38,1619,3.516,3,32767
39,1488,3.610,3,32767
40,1331,3.649,3,32767
41,1601,3.611,3,32767
42,1230,3.746,3,32767
43,1375,3.658,3,32767
44,1410,3.640,3,32767
45,1282,3.569,3,32767
46,1259,3.664,3,32767
47,1384,3.529,3,32767
48,1428,3.529,3,32767
49,1423,3.510,3,32767
50,1571,3.518,3,32767
51,1801,3.430,3,32767
52,1717,3.423,3,32767
53,1586,3.441,3,32767
54,1752,3.406,3,32767
55,2183,3.363,3,32767
56,1970,3.418,3,32767
57,1991,3.389,3,32767
58,2067,3.351,3,32767
59,1907,3.390,3,32767
60,2117,3.435,3,32767
61,1785,3.382,3,32767
62,1708,3.436,3,32767
63,1860,3.377,3,32767
64,1948,3.433,3,32767
65,1580,3.491,3,32767
66,1567,3.443,3,32767
67,1753,3.427,3,32767
68,1798,3.414,3,32767
69,1620,3.431,3,32767
70,1863,3.394,3,32767
71,2101,3.295,3,32767
72,2298,3.419,3,32767
73,2185,3.407,3,32767
74,2240,3.380,3,32767
75,2426,3.469,3,32767
76,2415,3.390,3,32767
77,2242,3.457,3,32767
78,2581,3.458,3,32767
79,2637,3.466,3,32767
80,3383,3.522,3,32767
81,2676,3.545,3,32767
82,3140,3.591,3,32767
83,3380,3.586,3,32767
84,3774,3.570,3,32767
85,3527,3.621,3,32767
86,3357,3.669,3,32767
87,3731,3.757,3,32767
88,4529,3.687,3,32767
89,4861,3.704,3,32767
90,4492,3.669,3,32767
91,5404,3.746,3,32767
92,5483,3.793,3,32767
93,5371,3.816,3,32767
94,5551,3.936,3,32767
95,5543,3.929,3,32767
96,5492,3.961,3,32767
97,6087,3.961,3,32767
98,6413,3.939,3,32767
99,6552,4.019,3,32767
100,6541,3.982,3,32767
101,6846,3.980,3,32767
102,6523,3.972,3,32767
103,7177,3.982,3,32767
104,7406,3.978,3,32767
105,7353,4.001,3,32767
106,7089,3.959,3,32767
107,7502,3.950,3,32767
108,7435,3.943,3,32767
109,7284,4.003,3,32767
110,7275,4.109,3,32767
111,7078,4.041,3,32767
112,7005,4.045,3,32767
113,7240,4.031,3,32767
114,7062,4.147,3,32767
115,7160,4.026,3,32767
116,7252,4.113,3,32767
117,6947,4.046,3,32767
118,7149,4.061,3,32767
119,7000,4.121,3,32767
120,6867,4.045,3,32767
121,6859,4.014,3,32767
122,6854,4.117,3,32767
123,6837,4.011,3,32767
124,6839,4.022,3,32767
125,6532,3.952,3,32767
126,6336,3.995,3,32767
127,6477,3.993,3,32767
128,6473,3.976,3,32767
129,6459,3.971,3,32767
130,6312,3.994,3,32767
131,5616,4.001,3,32767
132,5636,3.978,3,32767
133,5895,3.970,3,32767
134,5689,3.959,3,32767
135,5600,3.953,3,32767
136,5115,3.996,3,32767
137,5278,3.935,3,32767
138,5125,3.895,3,32767
139,5007,3.880,3,32767
140,5019,3.874,3,32767
141,4580,3.836,3,32767
142,4599,3.853,3,32767
143,4477,3.846,3,32767
144,4455,3.831,3,32767
145,4528,3.779,3,32767
146,4228,3.804,3,32767
147,4264,3.707,3,32767
148,4303,3.821,3,32767
149,4643,3.696,3,32767
150,4020,3.744,3,32767
151,4188,3.690,3,32767
152,4364,3.708,3,32767
153,4242,3.702,3,32767
154,4491,3.679,3,32767
155,4524,3.660,3,32767
156,4264,3.687,3,32767
157,4139,3.753,3,32767
158,4023,3.635,3,32767
159,3673,3.765,3,32767
160,3885,3.755,3,32767
161,4277,3.759,3,32767
162,4188,3.774,3,32767
163,4178,3.745,3,32767
164,3912,3.757,3,32767
165,4226,3.747,3,32767
166,4111,3.652,3,32767
167,3818,3.776,3,32767
168,3777,3.727,3,32767
169,4287,3.693,3,32767
170,4264,3.730,3,32767
171,4295,3.722,3,32767
172,4400,3.689,3,32767
173,4266,3.769,3,32767
174,4344,3.737,3,32767
175,4393,3.732,3,32767
176,4140,3.748,3,32767
177,4160,3.784,3,32767
178,4294,3.779,3,32767
179,4220,3.751,3,32767
180,4037,3.759,3,32767
181,4164,3.844,3,32767
182,4007,3.781,3,32767
183,4311,3.849,3,32767
184,4252,3.804,3,32767
185,4405,3.807,3,32767
186,4572,3.777,3,32767
187,4645,3.787,3,32767
188,4400,3.806,3,32767
189,4596,3.817,3,32767
190,4647,3.770,3,32767
191,4317,3.814,3,32767
192,4491,3.844,3,32767
193,4293,3.895,3,32767
194,4345,3.760,3,32767
195,4756,3.760,3,32767
196,4633,3.799,3,32767
197,4402,3.773,3,32767
198,4249,3.693,3,32767
199,4698,3.707,3,32767
200,4617,3.785,3,32767
