
Detailed
 ==================== 
Area,Unit,Category,Time,ID,
6552.81,µm^2,Surface,1,0,
23013.6,µm^2,Surface,1,1,
11.4791,µm^2,Surface,1,2,
2.20271,µm^2,Surface,1,3,
0.325825,µm^2,Surface,1,4,
3.59873,µm^2,Surface,1,5,
2.83953,µm^2,Surface,1,6,
54.3171,µm^2,Surface,1,7,
357.372,µm^2,Surface,1,8,
68.6689,µm^2,Surface,1,9,
4.98862,µm^2,Surface,1,10,
157.713,µm^2,Surface,1,11,
115.573,µm^2,Surface,1,12,
19.668,µm^2,Surface,1,13,
160.364,µm^2,Surface,1,14,
0.0108479,µm^2,Surface,1,15,
1.06171,µm^2,Surface,1,16,
1.10318,µm^2,Surface,1,17,
0.269322,µm^2,Surface,1,18,
0.619099,µm^2,Surface,1,19,
0.0335547,µm^2,Surface,1,20,
0.00220192,µm^2,Surface,1,21,
0.035388,µm^2,Surface,1,22,
2.20398,µm^2,Surface,1,23,
0.786632,µm^2,Surface,1,24,
29.0177,µm^2,Surface,1,25,
59.5129,µm^2,Surface,1,26,
9.51683,µm^2,Surface,1,27,
0.00344186,µm^2,Surface,1,28,
1.49844,µm^2,Surface,1,29,
0.240311,µm^2,Surface,1,30,
2.60157,µm^2,Surface,1,31,
0.754057,µm^2,Surface,1,32,
0.528483,µm^2,Surface,1,33,
133.075,µm^2,Surface,1,34,
204.756,µm^2,Surface,1,35,
0.691612,µm^2,Surface,1,36,
124.123,µm^2,Surface,1,37,
471.684,µm^2,Surface,1,38,
0.138361,µm^2,Surface,1,39,
104.73,µm^2,Surface,1,40,
2.50565,µm^2,Surface,1,41,
161.545,µm^2,Surface,1,42,
85.4324,µm^2,Surface,1,43,
180.467,µm^2,Surface,1,44,
1.07441,µm^2,Surface,1,45,
1.68458,µm^2,Surface,1,46,
0.796132,µm^2,Surface,1,47,
1.48167,µm^2,Surface,1,48,
0.0429862,µm^2,Surface,1,49,
1.3439,µm^2,Surface,1,50,
41.6946,µm^2,Surface,1,51,
190.366,µm^2,Surface,1,52,
49.5774,µm^2,Surface,1,53,
0.318228,µm^2,Surface,1,54,
0.153646,µm^2,Surface,1,55,
1.10842,µm^2,Surface,1,56,
0.208977,µm^2,Surface,1,57,
0.106772,µm^2,Surface,1,58,
110.798,µm^2,Surface,1,59,
0.00536005,µm^2,Surface,1,60,
0.691539,µm^2,Surface,1,61,
0.485108,µm^2,Surface,1,62,
89.4318,µm^2,Surface,1,63,
66.6886,µm^2,Surface,1,64,
0.527813,µm^2,Surface,1,65,
1.18051,µm^2,Surface,1,66,
58.4265,µm^2,Surface,1,67,
3.07058,µm^2,Surface,1,68,
0.346663,µm^2,Surface,1,69,
0.139908,µm^2,Surface,1,70,
50.065,µm^2,Surface,1,71,
1.47415,µm^2,Surface,1,72,
24.9721,µm^2,Surface,1,73,
8.02918,µm^2,Surface,1,74,
2.80407,µm^2,Surface,1,75,
0.132964,µm^2,Surface,1,76,
20.0295,µm^2,Surface,1,77,
0.076602,µm^2,Surface,1,78,
4.35425,µm^2,Surface,1,79,
0.881618,µm^2,Surface,1,80,
326.831,µm^2,Surface,1,81,
126.311,µm^2,Surface,1,82,
0.354537,µm^2,Surface,1,83,
0.229292,µm^2,Surface,1,84,
0.0537254,µm^2,Surface,1,85,
0.652957,µm^2,Surface,1,86,
2.20575,µm^2,Surface,1,87,
222.132,µm^2,Surface,1,88,
0.156025,µm^2,Surface,1,89,
0.0582034,µm^2,Surface,1,90,
48.6344,µm^2,Surface,1,91,
0.359102,µm^2,Surface,1,92,
0.00173235,µm^2,Surface,1,93,
0.115544,µm^2,Surface,1,94,
0.0624409,µm^2,Surface,1,95,
119.922,µm^2,Surface,1,96,
104.509,µm^2,Surface,1,97,
0.0586549,µm^2,Surface,1,98,
123.521,µm^2,Surface,1,99,
1.33925,µm^2,Surface,1,100,
122.467,µm^2,Surface,1,101,
0.454953,µm^2,Surface,1,102,
0.961938,µm^2,Surface,1,103,
3.313,µm^2,Surface,1,104,
0.230539,µm^2,Surface,1,105,
820.823,µm^2,Surface,1,106,
77.9515,µm^2,Surface,1,107,
0.136434,µm^2,Surface,1,108,
110.982,µm^2,Surface,1,109,
0.0120942,µm^2,Surface,1,110,
0.027525,µm^2,Surface,1,111,
182.1,µm^2,Surface,1,112,
92.368,µm^2,Surface,1,113,
0.136895,µm^2,Surface,1,114,
136.163,µm^2,Surface,1,115,
44.9248,µm^2,Surface,1,116,
110.101,µm^2,Surface,1,117,
1.00166,µm^2,Surface,1,118,
116.583,µm^2,Surface,1,119,
950.799,µm^2,Surface,1,120,
16.6035,µm^2,Surface,1,121,
0.838939,µm^2,Surface,1,122,
0.0177218,µm^2,Surface,1,123,
39.8978,µm^2,Surface,1,124,
0.299904,µm^2,Surface,1,125,
1.45006,µm^2,Surface,1,126,
115.699,µm^2,Surface,1,127,
151.479,µm^2,Surface,1,128,
2.55201,µm^2,Surface,1,129,
0.123637,µm^2,Surface,1,130,
17.907,µm^2,Surface,1,131,
2.27256,µm^2,Surface,1,132,
3.12339,µm^2,Surface,1,133,
0.213706,µm^2,Surface,1,134,
0.0837602,µm^2,Surface,1,135,
0.56018,µm^2,Surface,1,136,
0.717246,µm^2,Surface,1,137,
89.5252,µm^2,Surface,1,138,
40.1989,µm^2,Surface,1,139,
1.32275,µm^2,Surface,1,140,
17.5884,µm^2,Surface,1,141,
0.962107,µm^2,Surface,1,142,
0.333969,µm^2,Surface,1,143,
0.70394,µm^2,Surface,1,144,
0.194122,µm^2,Surface,1,145,
0.953139,µm^2,Surface,1,146,
0.468098,µm^2,Surface,1,147,
11.4369,µm^2,Surface,1,148,
95.5105,µm^2,Surface,1,149,
0.35728,µm^2,Surface,1,150,
0.829367,µm^2,Surface,1,151,
15.3766,µm^2,Surface,1,152,
0.195631,µm^2,Surface,1,153,
2.0886,µm^2,Surface,1,154,
0.0563108,µm^2,Surface,1,155,
102.217,µm^2,Surface,1,156,
1.55945,µm^2,Surface,1,157,
0.696455,µm^2,Surface,1,158,
2.47645,µm^2,Surface,1,159,
0.27006,µm^2,Surface,1,160,
48.9311,µm^2,Surface,1,161,
2.93218,µm^2,Surface,1,162,
0.914461,µm^2,Surface,1,163,
46.1387,µm^2,Surface,1,164,
2.34833,µm^2,Surface,1,165,
0.228651,µm^2,Surface,1,166,
145.852,µm^2,Surface,1,167,
0.47495,µm^2,Surface,1,168,
0.166412,µm^2,Surface,1,169,
5.89085,µm^2,Surface,1,170,
0.247921,µm^2,Surface,1,171,
0.778564,µm^2,Surface,1,172,
8.40571,µm^2,Surface,1,173,
0.181443,µm^2,Surface,1,174,
0.43087,µm^2,Surface,1,175,
2.85266,µm^2,Surface,1,176,
1.05108,µm^2,Surface,1,177,
0.0294778,µm^2,Surface,1,178,
4.55271,µm^2,Surface,1,179,
6.05091,µm^2,Surface,1,180,
0.374073,µm^2,Surface,1,181,
0.0297487,µm^2,Surface,1,182,
125.798,µm^2,Surface,1,183,
3003.14,µm^2,Surface,1,184,
258.897,µm^2,Surface,1,185,
2.72924,µm^2,Surface,1,186,
1.24819,µm^2,Surface,1,187,
0.0470283,µm^2,Surface,1,188,
0.0157264,µm^2,Surface,1,189,
86.5669,µm^2,Surface,1,190,
75.89,µm^2,Surface,1,191,
0.432491,µm^2,Surface,1,192,
0.632771,µm^2,Surface,1,193,
116.992,µm^2,Surface,1,194,
0.00295429,µm^2,Surface,1,195,
0.272477,µm^2,Surface,1,196,
91.8211,µm^2,Surface,1,197,
2.07524,µm^2,Surface,1,198,
0.365362,µm^2,Surface,1,199,
0.0628868,µm^2,Surface,1,200,
0.431143,µm^2,Surface,1,201,
1.67877,µm^2,Surface,1,202,
5.87893,µm^2,Surface,1,203,
0.497697,µm^2,Surface,1,204,
393.377,µm^2,Surface,1,205,
16.0979,µm^2,Surface,1,206,
86.8944,µm^2,Surface,1,207,
0.0331816,µm^2,Surface,1,208,
0.169574,µm^2,Surface,1,209,
0.631249,µm^2,Surface,1,210,
0.0951036,µm^2,Surface,1,211,
71.3083,µm^2,Surface,1,212,
45.8856,µm^2,Surface,1,213,
122.114,µm^2,Surface,1,214,
1.24077,µm^2,Surface,1,215,
67.6937,µm^2,Surface,1,216,
2.46379,µm^2,Surface,1,217,
435.43,µm^2,Surface,1,218,
2.48885,µm^2,Surface,1,219,
0.255583,µm^2,Surface,1,220,
24.629,µm^2,Surface,1,221,
1.07451,µm^2,Surface,1,222,
0.940899,µm^2,Surface,1,223,
2.2959,µm^2,Surface,1,224,
1.22197,µm^2,Surface,1,225,
19.3292,µm^2,Surface,1,226,
90.7057,µm^2,Surface,1,227,
2.91438,µm^2,Surface,1,228,
0.0318306,µm^2,Surface,1,229,
3.57976,µm^2,Surface,1,230,
650.221,µm^2,Surface,1,231,
137.294,µm^2,Surface,1,232,
76.5687,µm^2,Surface,1,233,
0.00428305,µm^2,Surface,1,234,
12.422,µm^2,Surface,1,235,
1.00779,µm^2,Surface,1,236,
62.8709,µm^2,Surface,1,237,
2.46544,µm^2,Surface,1,238,
101.662,µm^2,Surface,1,239,
0.31557,µm^2,Surface,1,240,
88.9944,µm^2,Surface,1,241,
9.70186,µm^2,Surface,1,242,
2.73111,µm^2,Surface,1,243,
181.738,µm^2,Surface,1,244,
81.3033,µm^2,Surface,1,245,
0.0395474,µm^2,Surface,1,246,
80.769,µm^2,Surface,1,247,
2.53531,µm^2,Surface,1,248,
0.420708,µm^2,Surface,1,249,
1432.13,µm^2,Surface,1,250,
1.84733,µm^2,Surface,1,251,
0.0284834,µm^2,Surface,1,252,
2.84088,µm^2,Surface,1,253,
15.1389,µm^2,Surface,1,254,
0.0491947,µm^2,Surface,1,255,
1.31711,µm^2,Surface,1,256,
2.75135,µm^2,Surface,1,257,
40.5543,µm^2,Surface,1,258,
69.8635,µm^2,Surface,1,259,
0.992329,µm^2,Surface,1,260,
0.720071,µm^2,Surface,1,261,
1.2248,µm^2,Surface,1,262,
1.5355,µm^2,Surface,1,263,
1.39421,µm^2,Surface,1,264,
2.1636,µm^2,Surface,1,265,
69.8743,µm^2,Surface,1,266,
0.0956993,µm^2,Surface,1,267,
8.86938,µm^2,Surface,1,268,
0.53349,µm^2,Surface,1,269,
1.07318,µm^2,Surface,1,270,
0.769212,µm^2,Surface,1,271,
3.99008,µm^2,Surface,1,272,
197.345,µm^2,Surface,1,273,
2.64627,µm^2,Surface,1,274,
0.0690999,µm^2,Surface,1,275,
0.850366,µm^2,Surface,1,276,
0.0138057,µm^2,Surface,1,277,
0.0738242,µm^2,Surface,1,278,
0.502628,µm^2,Surface,1,279,
0.218249,µm^2,Surface,1,280,
5.56235,µm^2,Surface,1,281,
0.0207495,µm^2,Surface,1,282,
14.3127,µm^2,Surface,1,283,
129.533,µm^2,Surface,1,284,
2.65506,µm^2,Surface,1,285,
0.596215,µm^2,Surface,1,286,
7.18726,µm^2,Surface,1,287,
99.068,µm^2,Surface,1,288,
149.303,µm^2,Surface,1,289,
0.396258,µm^2,Surface,1,290,
0.148075,µm^2,Surface,1,291,
350.045,µm^2,Surface,1,292,
0.520677,µm^2,Surface,1,293,
0.386616,µm^2,Surface,1,294,
84.2197,µm^2,Surface,1,295,
82.9949,µm^2,Surface,1,296,
0.0671051,µm^2,Surface,1,297,
0.19887,µm^2,Surface,1,298,
4588.6,µm^2,Surface,1,299,
3.02562,µm^2,Surface,1,300,
4.85315,µm^2,Surface,1,301,
0.0750456,µm^2,Surface,1,302,
5.22131,µm^2,Surface,1,303,
2.31787,µm^2,Surface,1,304,
2.17217,µm^2,Surface,1,305,
0.61438,µm^2,Surface,1,306,
3556.45,µm^2,Surface,1,307,
1479.38,µm^2,Surface,1,308,
14.248,µm^2,Surface,1,309,
272.408,µm^2,Surface,1,310,
3.21965,µm^2,Surface,1,311,
0.286464,µm^2,Surface,1,312,
1.54542,µm^2,Surface,1,313,
201.262,µm^2,Surface,1,314,
15.4288,µm^2,Surface,1,315,
0.407003,µm^2,Surface,1,316,
379.507,µm^2,Surface,1,317,
0.145071,µm^2,Surface,1,318,
0.355785,µm^2,Surface,1,319,
0.0613979,µm^2,Surface,1,320,
3.84132,µm^2,Surface,1,321,
0.335042,µm^2,Surface,1,322,
0.956002,µm^2,Surface,1,323,
42.6789,µm^2,Surface,1,324,
1.28856,µm^2,Surface,1,325,
0.0115976,µm^2,Surface,1,326,
3.5014,µm^2,Surface,1,327,
1.58702,µm^2,Surface,1,328,
0.485995,µm^2,Surface,1,329,
0.0731052,µm^2,Surface,1,330,
0.490996,µm^2,Surface,1,331,
0.0034135,µm^2,Surface,1,332,
0.90408,µm^2,Surface,1,333,
1.54186,µm^2,Surface,1,334,
0.161387,µm^2,Surface,1,335,
0.0075681,µm^2,Surface,1,336,
4451.75,µm^2,Surface,1,337,
0.278188,µm^2,Surface,1,338,
0.648462,µm^2,Surface,1,339,
2.14101,µm^2,Surface,1,340,
0.00138349,µm^2,Surface,1,341,
0.117752,µm^2,Surface,1,342,
0.163524,µm^2,Surface,1,343,
11.9774,µm^2,Surface,1,344,
105.676,µm^2,Surface,1,345,
2.1628,µm^2,Surface,1,346,
0.389163,µm^2,Surface,1,347,
0.149886,µm^2,Surface,1,348,
294.588,µm^2,Surface,1,349,
4.3441,µm^2,Surface,1,350,
2.45235,µm^2,Surface,1,351,
117.875,µm^2,Surface,1,352,
0.589588,µm^2,Surface,1,353,
0.75854,µm^2,Surface,1,354,
0.967234,µm^2,Surface,1,355,
0.0619394,µm^2,Surface,1,356,
499.584,µm^2,Surface,1,357,
0.308151,µm^2,Surface,1,358,
0.0883034,µm^2,Surface,1,359,
0.206676,µm^2,Surface,1,360,
0.26506,µm^2,Surface,1,361,
0.30726,µm^2,Surface,1,362,
49.31,µm^2,Surface,1,363,
1.3981,µm^2,Surface,1,364,
3.62769,µm^2,Surface,1,365,
0.127118,µm^2,Surface,1,366,
1.95977,µm^2,Surface,1,367,
0.126642,µm^2,Surface,1,368,
290.723,µm^2,Surface,1,369,
1.08759,µm^2,Surface,1,370,
0.330987,µm^2,Surface,1,371,
0.0246165,µm^2,Surface,1,372,
4.04608,µm^2,Surface,1,373,
0.48272,µm^2,Surface,1,374,
738.722,µm^2,Surface,1,375,
0.249038,µm^2,Surface,1,376,
98.4534,µm^2,Surface,1,377,
125.064,µm^2,Surface,1,378,
7.89734,µm^2,Surface,1,379,
64.8997,µm^2,Surface,1,380,
4.57118,µm^2,Surface,1,381,
0.00589868,µm^2,Surface,1,382,
0.0103242,µm^2,Surface,1,383,
12.8178,µm^2,Surface,1,384,
2.83503,µm^2,Surface,1,385,
1.40078,µm^2,Surface,1,386,
641.172,µm^2,Surface,1,387,
0.61722,µm^2,Surface,1,388,
0.050806,µm^2,Surface,1,389,
0.0568705,µm^2,Surface,1,390,
3.88466,µm^2,Surface,1,391,
0.454695,µm^2,Surface,1,392,
0.0363386,µm^2,Surface,1,393,
1.72287,µm^2,Surface,1,394,
405.39,µm^2,Surface,1,395,
0.281178,µm^2,Surface,1,396,
0.914598,µm^2,Surface,1,397,
6.29737,µm^2,Surface,1,398,
89.7063,µm^2,Surface,1,399,
574.972,µm^2,Surface,1,400,
1.03845,µm^2,Surface,1,401,
0.00425991,µm^2,Surface,1,402,
0.916606,µm^2,Surface,1,403,
3290.13,µm^2,Surface,1,404,
1011.34,µm^2,Surface,1,405,
1381.02,µm^2,Surface,1,406,
13.4428,µm^2,Surface,1,407,
