
Detailed
 ==================== 
Area,Unit,Category,Time,ID,
146.538,µm^2,Surface,1,0,
0.000852892,µm^2,Surface,1,1,
0.0398681,µm^2,Surface,1,2,
0.38519,µm^2,Surface,1,3,
0.0560015,µm^2,Surface,1,4,
50.0036,µm^2,Surface,1,5,
0.112892,µm^2,Surface,1,6,
0.406242,µm^2,Surface,1,7,
0.0927834,µm^2,Surface,1,8,
0.00574731,µm^2,Surface,1,9,
0.0560021,µm^2,Surface,1,10,
0.0258991,µm^2,Surface,1,11,
591.711,µm^2,Surface,1,12,
92.4426,µm^2,Surface,1,13,
24.0039,µm^2,Surface,1,14,
0.898933,µm^2,Surface,1,15,
0.223317,µm^2,Surface,1,16,
0.134126,µm^2,Surface,1,17,
0.000852883,µm^2,Surface,1,18,
85.1263,µm^2,Surface,1,19,
1.71435,µm^2,Surface,1,20,
0.000852875,µm^2,Surface,1,21,
0.778789,µm^2,Surface,1,22,
9.20048,µm^2,Surface,1,23,
0.0143108,µm^2,Surface,1,24,
1.39675,µm^2,Surface,1,25,
348.02,µm^2,Surface,1,26,
71.9941,µm^2,Surface,1,27,
0.0736397,µm^2,Surface,1,28,
0.0398677,µm^2,Surface,1,29,
0.0258996,µm^2,Surface,1,30,
0.0398685,µm^2,Surface,1,31,
0.000852875,µm^2,Surface,1,32,
0.0398677,µm^2,Surface,1,33,
6.63912,µm^2,Surface,1,34,
0.514516,µm^2,Surface,1,35,
1.33676,µm^2,Surface,1,36,
10.623,µm^2,Surface,1,37,
0.223312,µm^2,Surface,1,38,
0.0143107,µm^2,Surface,1,39,
0.00574731,µm^2,Surface,1,40,
110.75,µm^2,Surface,1,41,
0.0258991,µm^2,Surface,1,42,
198.484,µm^2,Surface,1,43,
2.13423,µm^2,Surface,1,44,
10.3787,µm^2,Surface,1,45,
0.0258991,µm^2,Surface,1,46,
0.442516,µm^2,Surface,1,47,
0.413781,µm^2,Surface,1,48,
0.0560021,µm^2,Surface,1,49,
73.0018,µm^2,Surface,1,50,
88.4933,µm^2,Surface,1,51,
0.327969,µm^2,Surface,1,52,
0.0258993,µm^2,Surface,1,53,
0.514521,µm^2,Surface,1,54,
0.0560021,µm^2,Surface,1,55,
0.0143107,µm^2,Surface,1,56,
45.9385,µm^2,Surface,1,57,
0.00574737,µm^2,Surface,1,58,
110.811,µm^2,Surface,1,59,
753.51,µm^2,Surface,1,60,
0.112893,µm^2,Surface,1,61,
0.0398685,µm^2,Surface,1,62,
11.5451,µm^2,Surface,1,63,
82.1689,µm^2,Surface,1,64,
1.27161,µm^2,Surface,1,65,
0.246343,µm^2,Surface,1,66,
118.897,µm^2,Surface,1,67,
65.1179,µm^2,Surface,1,68,
28.3917,µm^2,Surface,1,69,
0.90117,µm^2,Surface,1,70,
0.0398681,µm^2,Surface,1,71,
0.0143107,µm^2,Surface,1,72,
0.000852875,µm^2,Surface,1,73,
0.0258991,µm^2,Surface,1,74,
1.66567,µm^2,Surface,1,75,
2.26364,µm^2,Surface,1,76,
0.000852875,µm^2,Surface,1,77,
1.37705,µm^2,Surface,1,78,
161.656,µm^2,Surface,1,79,
0.00574731,µm^2,Surface,1,80,
5.09027,µm^2,Surface,1,81,
66.5172,µm^2,Surface,1,82,
169.724,µm^2,Surface,1,83,
8.0981,µm^2,Surface,1,84,
0.00574737,µm^2,Surface,1,85,
0.246348,µm^2,Surface,1,86,
8.94566,µm^2,Surface,1,87,
3.07281,µm^2,Surface,1,88,
5.60115,µm^2,Surface,1,89,
1.14703,µm^2,Surface,1,90,
0.384171,µm^2,Surface,1,91,
154.399,µm^2,Surface,1,92,
3.71483,µm^2,Surface,1,93,
0.122371,µm^2,Surface,1,94,
151.218,µm^2,Surface,1,95,
59.2757,µm^2,Surface,1,96,
0.0560015,µm^2,Surface,1,97,
0.000852883,µm^2,Surface,1,98,
0.134127,µm^2,Surface,1,99,
0.0398685,µm^2,Surface,1,100,
0.0736397,µm^2,Surface,1,101,
0.315481,µm^2,Surface,1,102,
0.0258993,µm^2,Surface,1,103,
0.0143107,µm^2,Surface,1,104,
0.683275,µm^2,Surface,1,105,
270.315,µm^2,Surface,1,106,
122.731,µm^2,Surface,1,107,
29.6253,µm^2,Surface,1,108,
9.0081,µm^2,Surface,1,109,
0.818729,µm^2,Surface,1,110,
49.065,µm^2,Surface,1,111,
0.0560015,µm^2,Surface,1,112,
93.6983,µm^2,Surface,1,113,
0.000852875,µm^2,Surface,1,114,
4.04214,µm^2,Surface,1,115,
0.315481,µm^2,Surface,1,116,
0.134125,µm^2,Surface,1,117,
30.0038,µm^2,Surface,1,118,
6.32461,µm^2,Surface,1,119,
0.000852875,µm^2,Surface,1,120,
1.2908,µm^2,Surface,1,121,
7.57851,µm^2,Surface,1,122,
0.595863,µm^2,Surface,1,123,
3.12225,µm^2,Surface,1,124,
0.0736397,µm^2,Surface,1,125,
0.134125,µm^2,Surface,1,126,
96.375,µm^2,Surface,1,127,
0.155769,µm^2,Surface,1,128,
4.01078,µm^2,Surface,1,129,
165.565,µm^2,Surface,1,130,
0.134126,µm^2,Surface,1,131,
0.00574731,µm^2,Surface,1,132,
0.0398677,µm^2,Surface,1,133,
162.035,µm^2,Surface,1,134,
0.134125,µm^2,Surface,1,135,
0.00574731,µm^2,Surface,1,136,
125.622,µm^2,Surface,1,137,
0.0398677,µm^2,Surface,1,138,
1.83148,µm^2,Surface,1,139,
0.20041,µm^2,Surface,1,140,
1.49899,µm^2,Surface,1,141,
71.8989,µm^2,Surface,1,142,
0.000852875,µm^2,Surface,1,143,
7.07505,µm^2,Surface,1,144,
0.411054,µm^2,Surface,1,145,
0.134126,µm^2,Surface,1,146,
0.200406,µm^2,Surface,1,147,
77.1265,µm^2,Surface,1,148,
0.246343,µm^2,Surface,1,149,
3.99934,µm^2,Surface,1,150,
0.00574731,µm^2,Surface,1,151,
0.000852875,µm^2,Surface,1,152,
0.0398677,µm^2,Surface,1,153,
0.0927843,µm^2,Surface,1,154,
1.79678,µm^2,Surface,1,155,
0.000852875,µm^2,Surface,1,156,
0.155769,µm^2,Surface,1,157,
0.0143107,µm^2,Surface,1,158,
0.112892,µm^2,Surface,1,159,
3.33869,µm^2,Surface,1,160,
0.246343,µm^2,Surface,1,161,
0.58041,µm^2,Surface,1,162,
0.356465,µm^2,Surface,1,163,
0.000852892,µm^2,Surface,1,164,
0.0143107,µm^2,Surface,1,165,
0.384167,µm^2,Surface,1,166,
