
Detailed
 ==================== 
Area,Unit,Category,Time,ID,
170842,µm^2,Surface,1,0,
1.21618,µm^2,Surface,1,1,
3.59682,µm^2,Surface,1,2,
0.894247,µm^2,Surface,1,3,
6.77484,µm^2,Surface,1,4,
0.112892,µm^2,Surface,1,5,
17.9878,µm^2,Surface,1,6,
0.774177,µm^2,Surface,1,7,
0.223312,µm^2,Surface,1,8,
0.654095,µm^2,Surface,1,9,
176.39,µm^2,Surface,1,10,
0.428606,µm^2,Surface,1,11,
0.18137,µm^2,Surface,1,12,
1.24223,µm^2,Surface,1,13,
0.00574737,µm^2,Surface,1,14,
0.112892,µm^2,Surface,1,15,
0.535475,µm^2,Surface,1,16,
0.0143107,µm^2,Surface,1,17,
0.155769,µm^2,Surface,1,18,
0.134126,µm^2,Surface,1,19,
0.0560015,µm^2,Surface,1,20,
1.28061,µm^2,Surface,1,21,
0.0398681,µm^2,Surface,1,22,
114.544,µm^2,Surface,1,23,
0.292571,µm^2,Surface,1,24,
0.413126,µm^2,Surface,1,25,
0.0143108,µm^2,Surface,1,26,
0.112892,µm^2,Surface,1,27,
26.6243,µm^2,Surface,1,28,
1.29086,µm^2,Surface,1,29,
0.0258991,µm^2,Surface,1,30,
17.3934,µm^2,Surface,1,31,
0.0560015,µm^2,Surface,1,32,
1.53987,µm^2,Surface,1,33,
0.000852883,µm^2,Surface,1,34,
0.292571,µm^2,Surface,1,35,
0.000852883,µm^2,Surface,1,36,
2.23922,µm^2,Surface,1,37,
0.000852883,µm^2,Surface,1,38,
0.0398677,µm^2,Surface,1,39,
0.00574737,µm^2,Surface,1,40,
0.0143108,µm^2,Surface,1,41,
0.15577,µm^2,Surface,1,42,
0.0398677,µm^2,Surface,1,43,
1.63342,µm^2,Surface,1,44,
0.0143108,µm^2,Surface,1,45,
5.56697,µm^2,Surface,1,46,
0.428606,µm^2,Surface,1,47,
0.338441,µm^2,Surface,1,48,
0.0560015,µm^2,Surface,1,49,
0.200406,µm^2,Surface,1,50,
0.270145,µm^2,Surface,1,51,
2.90343,µm^2,Surface,1,52,
1.1225,µm^2,Surface,1,53,
113.975,µm^2,Surface,1,54,
0.0398681,µm^2,Surface,1,55,
0.00574743,µm^2,Surface,1,56,
11.709,µm^2,Surface,1,57,
19.7854,µm^2,Surface,1,58,
141.603,µm^2,Surface,1,59,
0.0143107,µm^2,Surface,1,60,
19.9305,µm^2,Surface,1,61,
0.0143107,µm^2,Surface,1,62,
1.7102,µm^2,Surface,1,63,
0.00574731,µm^2,Surface,1,64,
0.0560015,µm^2,Surface,1,65,
0.45066,µm^2,Surface,1,66,
0.155769,µm^2,Surface,1,67,
0.857678,µm^2,Surface,1,68,
1.41056,µm^2,Surface,1,69,
0.240372,µm^2,Surface,1,70,
23.7707,µm^2,Surface,1,71,
0.625044,µm^2,Surface,1,72,
0.00574731,µm^2,Surface,1,73,
0.548239,µm^2,Surface,1,74,
252.906,µm^2,Surface,1,75,
3.92065,µm^2,Surface,1,76,
0.0636682,µm^2,Surface,1,77,
0.119546,µm^2,Surface,1,78,
0.494739,µm^2,Surface,1,79,
0.0258993,µm^2,Surface,1,80,
0.0560015,µm^2,Surface,1,81,
0.200408,µm^2,Surface,1,82,
0.935692,µm^2,Surface,1,83,
0.472354,µm^2,Surface,1,84,
0.0398685,µm^2,Surface,1,85,
0.000852875,µm^2,Surface,1,86,
0.00574731,µm^2,Surface,1,87,
837.044,µm^2,Surface,1,88,
0.00574737,µm^2,Surface,1,89,
92.7586,µm^2,Surface,1,90,
0.0143108,µm^2,Surface,1,91,
0.493658,µm^2,Surface,1,92,
87.1906,µm^2,Surface,1,93,
1.83299,µm^2,Surface,1,94,
0.000852875,µm^2,Surface,1,95,
0.0143107,µm^2,Surface,1,96,
0.000852875,µm^2,Surface,1,97,
0.000852875,µm^2,Surface,1,98,
0.210771,µm^2,Surface,1,99,
0.0398689,µm^2,Surface,1,100,
0.384171,µm^2,Surface,1,101,
0.200406,µm^2,Surface,1,102,
0.464798,µm^2,Surface,1,103,
0.000852883,µm^2,Surface,1,104,
1.24639,µm^2,Surface,1,105,
0.0927844,µm^2,Surface,1,106,
0.0143108,µm^2,Surface,1,107,
4.26714,µm^2,Surface,1,108,
0.000852891,µm^2,Surface,1,109,
107.614,µm^2,Surface,1,110,
0.0258991,µm^2,Surface,1,111,
0.0736397,µm^2,Surface,1,112,
13.4464,µm^2,Surface,1,113,
0.0736412,µm^2,Surface,1,114,
0.0143107,µm^2,Surface,1,115,
3.72369,µm^2,Surface,1,116,
16.4746,µm^2,Surface,1,117,
0.436864,µm^2,Surface,1,118,
0.0398677,µm^2,Surface,1,119,
0.0398677,µm^2,Surface,1,120,
0.0560015,µm^2,Surface,1,121,
1.4257,µm^2,Surface,1,122,
0.155769,µm^2,Surface,1,123,
0.0736397,µm^2,Surface,1,124,
0.000852883,µm^2,Surface,1,125,
0.112893,µm^2,Surface,1,126,
0.89155,µm^2,Surface,1,127,
0.000852875,µm^2,Surface,1,128,
0.000852883,µm^2,Surface,1,129,
22.0889,µm^2,Surface,1,130,
0.246343,µm^2,Surface,1,131,
0.00574731,µm^2,Surface,1,132,
81.6133,µm^2,Surface,1,133,
0.00574731,µm^2,Surface,1,134,
0.67716,µm^2,Surface,1,135,
1.86933,µm^2,Surface,1,136,
0.0258991,µm^2,Surface,1,137,
0.327671,µm^2,Surface,1,138,
0.0927843,µm^2,Surface,1,139,
0.0560015,µm^2,Surface,1,140,
0.200406,µm^2,Surface,1,141,
0.78646,µm^2,Surface,1,142,
0.00574731,µm^2,Surface,1,143,
0.00574731,µm^2,Surface,1,144,
0.000852875,µm^2,Surface,1,145,
0.177823,µm^2,Surface,1,146,
0.000852883,µm^2,Surface,1,147,
0.908854,µm^2,Surface,1,148,
0.0560015,µm^2,Surface,1,149,
0.112892,µm^2,Surface,1,150,
0.155769,µm^2,Surface,1,151,
74.1143,µm^2,Surface,1,152,
0.0143108,µm^2,Surface,1,153,
0.000852883,µm^2,Surface,1,154,
0.0143107,µm^2,Surface,1,155,
2.20261,µm^2,Surface,1,156,
0.0143107,µm^2,Surface,1,157,
0.0736397,µm^2,Surface,1,158,
0.000852875,µm^2,Surface,1,159,
0.0143108,µm^2,Surface,1,160,
0.0258993,µm^2,Surface,1,161,
0.0258991,µm^2,Surface,1,162,
0.0258993,µm^2,Surface,1,163,
138.728,µm^2,Surface,1,164,
5.38787,µm^2,Surface,1,165,
0.134126,µm^2,Surface,1,166,
1.02068,µm^2,Surface,1,167,
0.440598,µm^2,Surface,1,168,
0.00574737,µm^2,Surface,1,169,
0.726752,µm^2,Surface,1,170,
0.0560015,µm^2,Surface,1,171,
0.0560032,µm^2,Surface,1,172,
0.0398677,µm^2,Surface,1,173,
0.0560015,µm^2,Surface,1,174,
1.87623,µm^2,Surface,1,175,
0.406246,µm^2,Surface,1,176,
0.246346,µm^2,Surface,1,177,
0.00574731,µm^2,Surface,1,178,
0.764982,µm^2,Surface,1,179,
0.384171,µm^2,Surface,1,180,
0.0143107,µm^2,Surface,1,181,
0.0398677,µm^2,Surface,1,182,
0.0143108,µm^2,Surface,1,183,
0.385182,µm^2,Surface,1,184,
0.0560021,µm^2,Surface,1,185,
0.0560021,µm^2,Surface,1,186,
0.181531,µm^2,Surface,1,187,
0.00574737,µm^2,Surface,1,188,
0.0143108,µm^2,Surface,1,189,
9.51026,µm^2,Surface,1,190,
124.998,µm^2,Surface,1,191,
0.299174,µm^2,Surface,1,192,
2.32616,µm^2,Surface,1,193,
0.000852875,µm^2,Surface,1,194,
0.000852875,µm^2,Surface,1,195,
0.134125,µm^2,Surface,1,196,
0.450656,µm^2,Surface,1,197,
0.0560015,µm^2,Surface,1,198,
0.800819,µm^2,Surface,1,199,
0.355855,µm^2,Surface,1,200,
8.24875,µm^2,Surface,1,201,
0.134127,µm^2,Surface,1,202,
0.177821,µm^2,Surface,1,203,
0.464793,µm^2,Surface,1,204,
4.64549,µm^2,Surface,1,205,
0.0258993,µm^2,Surface,1,206,
0.794484,µm^2,Surface,1,207,
0.000852883,µm^2,Surface,1,208,
0.315484,µm^2,Surface,1,209,
0.134126,µm^2,Surface,1,210,
1.12674,µm^2,Surface,1,211,
0.0143108,µm^2,Surface,1,212,
0.0398681,µm^2,Surface,1,213,
0.134125,µm^2,Surface,1,214,
3.93246,µm^2,Surface,1,215,
0.654095,µm^2,Surface,1,216,
110.924,µm^2,Surface,1,217,
3.50398,µm^2,Surface,1,218,
0.406246,µm^2,Surface,1,219,
0.0398681,µm^2,Surface,1,220,
77.1189,µm^2,Surface,1,221,
0.428602,µm^2,Surface,1,222,
0.0143107,µm^2,Surface,1,223,
0.493654,µm^2,Surface,1,224,
0.470837,µm^2,Surface,1,225,
0.246343,µm^2,Surface,1,226,
0.134125,µm^2,Surface,1,227,
12.9876,µm^2,Surface,1,228,
249.706,µm^2,Surface,1,229,
0.535486,µm^2,Surface,1,230,
36.3078,µm^2,Surface,1,231,
0.0258996,µm^2,Surface,1,232,
18.1434,µm^2,Surface,1,233,
0.000852875,µm^2,Surface,1,234,
0.413752,µm^2,Surface,1,235,
0.000852875,µm^2,Surface,1,236,
0.112893,µm^2,Surface,1,237,
0.134125,µm^2,Surface,1,238,
5.20614,µm^2,Surface,1,239,
2.34608,µm^2,Surface,1,240,
0.315484,µm^2,Surface,1,241,
0.000852891,µm^2,Surface,1,242,
0.292568,µm^2,Surface,1,243,
0.338445,µm^2,Surface,1,244,
1.00388,µm^2,Surface,1,245,
0.0398677,µm^2,Surface,1,246,
0.0258993,µm^2,Surface,1,247,
0.0258993,µm^2,Surface,1,248,
0.014311,µm^2,Surface,1,249,
0.177821,µm^2,Surface,1,250,
0.000852883,µm^2,Surface,1,251,
3.22979,µm^2,Surface,1,252,
0.778159,µm^2,Surface,1,253,
0.269321,µm^2,Surface,1,254,
0.177823,µm^2,Surface,1,255,
528.602,µm^2,Surface,1,256,
3.09391,µm^2,Surface,1,257,
0.472359,µm^2,Surface,1,258,
456.985,µm^2,Surface,1,259,
4.32993,µm^2,Surface,1,260,
0.200408,µm^2,Surface,1,261,
0.00574731,µm^2,Surface,1,262,
0.269321,µm^2,Surface,1,263,
0.000852875,µm^2,Surface,1,264,
0.200406,µm^2,Surface,1,265,
0.00574737,µm^2,Surface,1,266,
0.014311,µm^2,Surface,1,267,
0.0398677,µm^2,Surface,1,268,
0.0398677,µm^2,Surface,1,269,
0.112892,µm^2,Surface,1,270,
0.364873,µm^2,Surface,1,271,
0.0927834,µm^2,Surface,1,272,
0.535481,µm^2,Surface,1,273,
4.21199,µm^2,Surface,1,274,
142.557,µm^2,Surface,1,275,
0.112892,µm^2,Surface,1,276,
0.315481,µm^2,Surface,1,277,
1.8141,µm^2,Surface,1,278,
0.777798,µm^2,Surface,1,279,
2.64863,µm^2,Surface,1,280,
7.27954,µm^2,Surface,1,281,
0.0143107,µm^2,Surface,1,282,
0.0736404,µm^2,Surface,1,283,
0.0143108,µm^2,Surface,1,284,
0.134126,µm^2,Surface,1,285,
0.112893,µm^2,Surface,1,286,
0.0560015,µm^2,Surface,1,287,
0.683238,µm^2,Surface,1,288,
2.75838,µm^2,Surface,1,289,
0.155769,µm^2,Surface,1,290,
0.00574731,µm^2,Surface,1,291,
0.428606,µm^2,Surface,1,292,
0.0258993,µm^2,Surface,1,293,
13.5285,µm^2,Surface,1,294,
0.223312,µm^2,Surface,1,295,
0.15577,µm^2,Surface,1,296,
0.240151,µm^2,Surface,1,297,
0.269321,µm^2,Surface,1,298,
0.00574737,µm^2,Surface,1,299,
0.0560021,µm^2,Surface,1,300,
0.38356,µm^2,Surface,1,301,
0.704431,µm^2,Surface,1,302,
0.0258993,µm^2,Surface,1,303,
50.4035,µm^2,Surface,1,304,
0.155769,µm^2,Surface,1,305,
0.223315,µm^2,Surface,1,306,
0.0560015,µm^2,Surface,1,307,
0.112893,µm^2,Surface,1,308,
0.0398677,µm^2,Surface,1,309,
502.997,µm^2,Surface,1,310,
0.155769,µm^2,Surface,1,311,
3.83383,µm^2,Surface,1,312,
0.654095,µm^2,Surface,1,313,
0.112892,µm^2,Surface,1,314,
1.00127,µm^2,Surface,1,315,
134.72,µm^2,Surface,1,316,
3.08059,µm^2,Surface,1,317,
8.05205,µm^2,Surface,1,318,
0.112893,µm^2,Surface,1,319,
0.112893,µm^2,Surface,1,320,
0.581298,µm^2,Surface,1,321,
1.08909,µm^2,Surface,1,322,
2.73764,µm^2,Surface,1,323,
0.595863,µm^2,Surface,1,324,
0.414248,µm^2,Surface,1,325,
0.000852875,µm^2,Surface,1,326,
0.0398677,µm^2,Surface,1,327,
0.0258991,µm^2,Surface,1,328,
0.134125,µm^2,Surface,1,329,
361.128,µm^2,Surface,1,330,
0.0398677,µm^2,Surface,1,331,
0.112892,µm^2,Surface,1,332,
0.000852883,µm^2,Surface,1,333,
0.000852875,µm^2,Surface,1,334,
110.674,µm^2,Surface,1,335,
453.15,µm^2,Surface,1,336,
0.000852883,µm^2,Surface,1,337,
0.0258993,µm^2,Surface,1,338,
0.177823,µm^2,Surface,1,339,
0.000852875,µm^2,Surface,1,340,
1.22939,µm^2,Surface,1,341,
1.95773,µm^2,Surface,1,342,
0.000852875,µm^2,Surface,1,343,
1.70804,µm^2,Surface,1,344,
0.0736397,µm^2,Surface,1,345,
0.00574731,µm^2,Surface,1,346,
0.595875,µm^2,Surface,1,347,
0.000852883,µm^2,Surface,1,348,
9.55124,µm^2,Surface,1,349,
0.00574731,µm^2,Surface,1,350,
0.338445,µm^2,Surface,1,351,
0.0143107,µm^2,Surface,1,352,
0.575887,µm^2,Surface,1,353,
0.428606,µm^2,Surface,1,354,
0.0143107,µm^2,Surface,1,355,
0.00574737,µm^2,Surface,1,356,
0.998807,µm^2,Surface,1,357,
2.75438,µm^2,Surface,1,358,
0.0398677,µm^2,Surface,1,359,
195.878,µm^2,Surface,1,360,
0.177823,µm^2,Surface,1,361,
1.90979,µm^2,Surface,1,362,
0.0143107,µm^2,Surface,1,363,
0.112892,µm^2,Surface,1,364,
10.5664,µm^2,Surface,1,365,
0.269642,µm^2,Surface,1,366,
157.559,µm^2,Surface,1,367,
0.549138,µm^2,Surface,1,368,
0.00574731,µm^2,Surface,1,369,
0.00574731,µm^2,Surface,1,370,
0.00574731,µm^2,Surface,1,371,
0.0560015,µm^2,Surface,1,372,
210.339,µm^2,Surface,1,373,
0.269321,µm^2,Surface,1,374,
0.00574731,µm^2,Surface,1,375,
0.0143107,µm^2,Surface,1,376,
0.0143108,µm^2,Surface,1,377,
0.000852883,µm^2,Surface,1,378,
274.275,µm^2,Surface,1,379,
0.00574731,µm^2,Surface,1,380,
0.0398681,µm^2,Surface,1,381,
359.242,µm^2,Surface,1,382,
0.0560021,µm^2,Surface,1,383,
0.442518,µm^2,Surface,1,384,
18.6887,µm^2,Surface,1,385,
0.000852875,µm^2,Surface,1,386,
0.0258996,µm^2,Surface,1,387,
32.5341,µm^2,Surface,1,388,
15.0669,µm^2,Surface,1,389,
0.738954,µm^2,Surface,1,390,
1.1006,µm^2,Surface,1,391,
44.3453,µm^2,Surface,1,392,
10.3845,µm^2,Surface,1,393,
0.00574731,µm^2,Surface,1,394,
0.609358,µm^2,Surface,1,395,
310.053,µm^2,Surface,1,396,
29.5864,µm^2,Surface,1,397,
0.0258993,µm^2,Surface,1,398,
0.000852891,µm^2,Surface,1,399,
0.00574731,µm^2,Surface,1,400,
0.0927843,µm^2,Surface,1,401,
227.116,µm^2,Surface,1,402,
0.200408,µm^2,Surface,1,403,
0.0736397,µm^2,Surface,1,404,
0.014311,µm^2,Surface,1,405,
0.0398677,µm^2,Surface,1,406,
0.155769,µm^2,Surface,1,407,
44.9493,µm^2,Surface,1,408,
0.385157,µm^2,Surface,1,409,
0.0258991,µm^2,Surface,1,410,
0.0143108,µm^2,Surface,1,411,
12.8373,µm^2,Surface,1,412,
7.91797,µm^2,Surface,1,413,
0.0258991,µm^2,Surface,1,414,
0.000852883,µm^2,Surface,1,415,
0.000852875,µm^2,Surface,1,416,
0.0143107,µm^2,Surface,1,417,
0.0398677,µm^2,Surface,1,418,
0.000852875,µm^2,Surface,1,419,
0.338441,µm^2,Surface,1,420,
0.470235,µm^2,Surface,1,421,
0.656221,µm^2,Surface,1,422,
1.01829,µm^2,Surface,1,423,
47.8073,µm^2,Surface,1,424,
6.7248,µm^2,Surface,1,425,
0.0560026,µm^2,Surface,1,426,
40.9477,µm^2,Surface,1,427,
0.00574737,µm^2,Surface,1,428,
2.7933,µm^2,Surface,1,429,
186.953,µm^2,Surface,1,430,
0.00574737,µm^2,Surface,1,431,
103.496,µm^2,Surface,1,432,
0.000852875,µm^2,Surface,1,433,
22.7025,µm^2,Surface,1,434,
2.51799,µm^2,Surface,1,435,
0.000852875,µm^2,Surface,1,436,
0.00574737,µm^2,Surface,1,437,
0.960236,µm^2,Surface,1,438,
0.177823,µm^2,Surface,1,439,
127.73,µm^2,Surface,1,440,
0.440593,µm^2,Surface,1,441,
0.361363,µm^2,Surface,1,442,
0.493654,µm^2,Surface,1,443,
0.246343,µm^2,Surface,1,444,
0.00574737,µm^2,Surface,1,445,
0.0143108,µm^2,Surface,1,446,
0.223312,µm^2,Surface,1,447,
11.6857,µm^2,Surface,1,448,
0.200408,µm^2,Surface,1,449,
3.01443,µm^2,Surface,1,450,
0.00574737,µm^2,Surface,1,451,
0.000852875,µm^2,Surface,1,452,
0.0143108,µm^2,Surface,1,453,
0.000852875,µm^2,Surface,1,454,
0.0560021,µm^2,Surface,1,455,
0.939109,µm^2,Surface,1,456,
204.858,µm^2,Surface,1,457,
229.344,µm^2,Surface,1,458,
485.834,µm^2,Surface,1,459,
0.155769,µm^2,Surface,1,460,
0.0560026,µm^2,Surface,1,461,
0.014311,µm^2,Surface,1,462,
0.0143107,µm^2,Surface,1,463,
0.0927844,µm^2,Surface,1,464,
0.000852883,µm^2,Surface,1,465,
0.177821,µm^2,Surface,1,466,
0.223312,µm^2,Surface,1,467,
57.8414,µm^2,Surface,1,468,
58.7982,µm^2,Surface,1,469,
0.0143107,µm^2,Surface,1,470,
0.000852875,µm^2,Surface,1,471,
0.112893,µm^2,Surface,1,472,
0.000852883,µm^2,Surface,1,473,
1.20386,µm^2,Surface,1,474,
0.134125,µm^2,Surface,1,475,
1.71897,µm^2,Surface,1,476,
80.6175,µm^2,Surface,1,477,
0.177823,µm^2,Surface,1,478,
15.5032,µm^2,Surface,1,479,
0.472354,µm^2,Surface,1,480,
0.0143107,µm^2,Surface,1,481,
9.42866,µm^2,Surface,1,482,
2.2781,µm^2,Surface,1,483,
88.5215,µm^2,Surface,1,484,
0.0560015,µm^2,Surface,1,485,
0.112893,µm^2,Surface,1,486,
0.0258993,µm^2,Surface,1,487,
0.000852883,µm^2,Surface,1,488,
0.758553,µm^2,Surface,1,489,
1.97078,µm^2,Surface,1,490,
0.0560021,µm^2,Surface,1,491,
1.64512,µm^2,Surface,1,492,
0.014311,µm^2,Surface,1,493,
0.00574731,µm^2,Surface,1,494,
4.04155,µm^2,Surface,1,495,
2.05412,µm^2,Surface,1,496,
0.00574731,µm^2,Surface,1,497,
1.23867,µm^2,Surface,1,498,
4.97586,µm^2,Surface,1,499,
0.134126,µm^2,Surface,1,500,
0.155769,µm^2,Surface,1,501,
0.112893,µm^2,Surface,1,502,
0.112892,µm^2,Surface,1,503,
2.10407,µm^2,Surface,1,504,
1.46961,µm^2,Surface,1,505,
0.000852883,µm^2,Surface,1,506,
0.0560015,µm^2,Surface,1,507,
0.704438,µm^2,Surface,1,508,
181.982,µm^2,Surface,1,509,
0.0560021,µm^2,Surface,1,510,
0.0258993,µm^2,Surface,1,511,
3.3995,µm^2,Surface,1,512,
2.7669,µm^2,Surface,1,513,
0.0736412,µm^2,Surface,1,514,
1.74689,µm^2,Surface,1,515,
209.02,µm^2,Surface,1,516,
0.0258993,µm^2,Surface,1,517,
0.112893,µm^2,Surface,1,518,
0.134126,µm^2,Surface,1,519,
0.361366,µm^2,Surface,1,520,
0.000852875,µm^2,Surface,1,521,
2.11282,µm^2,Surface,1,522,
1.45629,µm^2,Surface,1,523,
0.0398677,µm^2,Surface,1,524,
78.2592,µm^2,Surface,1,525,
0.811078,µm^2,Surface,1,526,
0.000852875,µm^2,Surface,1,527,
0.40625,µm^2,Surface,1,528,
0.555947,µm^2,Surface,1,529,
138.168,µm^2,Surface,1,530,
0.493654,µm^2,Surface,1,531,
0.0258991,µm^2,Surface,1,532,
0.00574731,µm^2,Surface,1,533,
2.88837,µm^2,Surface,1,534,
0.200408,µm^2,Surface,1,535,
20.6277,µm^2,Surface,1,536,
794.957,µm^2,Surface,1,537,
0.0398677,µm^2,Surface,1,538,
0.000852875,µm^2,Surface,1,539,
0.0927843,µm^2,Surface,1,540,
0.298717,µm^2,Surface,1,541,
0.223312,µm^2,Surface,1,542,
2.5059,µm^2,Surface,1,543,
1.3177,µm^2,Surface,1,544,
0.0258991,µm^2,Surface,1,545,
0.0736404,µm^2,Surface,1,546,
6.65102,µm^2,Surface,1,547,
78.6649,µm^2,Surface,1,548,
0.0927855,µm^2,Surface,1,549,
2.62083,µm^2,Surface,1,550,
1.4987,µm^2,Surface,1,551,
0.0398677,µm^2,Surface,1,552,
9.31641,µm^2,Surface,1,553,
0.0398677,µm^2,Surface,1,554,
0.0398679,µm^2,Surface,1,555,
0.807608,µm^2,Surface,1,556,
0.0636675,µm^2,Surface,1,557,
0.000852875,µm^2,Surface,1,558,
0.968662,µm^2,Surface,1,559,
0.0398685,µm^2,Surface,1,560,
1.15967,µm^2,Surface,1,561,
0.544203,µm^2,Surface,1,562,
0.677167,µm^2,Surface,1,563,
44.6056,µm^2,Surface,1,564,
0.302622,µm^2,Surface,1,565,
0.0398678,µm^2,Surface,1,566,
2.73774,µm^2,Surface,1,567,
0.3568,µm^2,Surface,1,568,
0.499194,µm^2,Surface,1,569,
0.000852883,µm^2,Surface,1,570,
0.00574731,µm^2,Surface,1,571,
1137.12,µm^2,Surface,1,572,
89.7768,µm^2,Surface,1,573,
69.1006,µm^2,Surface,1,574,
0.315484,µm^2,Surface,1,575,
71.6785,µm^2,Surface,1,576,
0.00574737,µm^2,Surface,1,577,
0.0736397,µm^2,Surface,1,578,
0.0398677,µm^2,Surface,1,579,
0.327488,µm^2,Surface,1,580,
4.45795,µm^2,Surface,1,581,
41.5344,µm^2,Surface,1,582,
0.905519,µm^2,Surface,1,583,
0.858058,µm^2,Surface,1,584,
0.0736397,µm^2,Surface,1,585,
0.0143107,µm^2,Surface,1,586,
0.0398677,µm^2,Surface,1,587,
0.000852875,µm^2,Surface,1,588,
1.18304,µm^2,Surface,1,589,
305.599,µm^2,Surface,1,590,
0.496085,µm^2,Surface,1,591,
0.0398681,µm^2,Surface,1,592,
0.0560021,µm^2,Surface,1,593,
0.269319,µm^2,Surface,1,594,
0.0398681,µm^2,Surface,1,595,
0.20041,µm^2,Surface,1,596,
20.7193,µm^2,Surface,1,597,
10.4863,µm^2,Surface,1,598,
0.134127,µm^2,Surface,1,599,
0.785244,µm^2,Surface,1,600,
0.200406,µm^2,Surface,1,601,
0.0927844,µm^2,Surface,1,602,
0.338441,µm^2,Surface,1,603,
0.134125,µm^2,Surface,1,604,
0.0398681,µm^2,Surface,1,605,
0.000852883,µm^2,Surface,1,606,
0.112893,µm^2,Surface,1,607,
123.178,µm^2,Surface,1,608,
75.3039,µm^2,Surface,1,609,
52.6313,µm^2,Surface,1,610,
0.0258992,µm^2,Surface,1,611,
0.014311,µm^2,Surface,1,612,
0.000852875,µm^2,Surface,1,613,
0.00574733,µm^2,Surface,1,614,
0.0398677,µm^2,Surface,1,615,
0.0736401,µm^2,Surface,1,616,
0.555941,µm^2,Surface,1,617,
0.0736397,µm^2,Surface,1,618,
219.031,µm^2,Surface,1,619,
1.60476,µm^2,Surface,1,620,
1.2091,µm^2,Surface,1,621,
112.505,µm^2,Surface,1,622,
0.645196,µm^2,Surface,1,623,
352.059,µm^2,Surface,1,624,
0.0057474,µm^2,Surface,1,625,
4.19548,µm^2,Surface,1,626,
0.338441,µm^2,Surface,1,627,
0.155769,µm^2,Surface,1,628,
44.4827,µm^2,Surface,1,629,
32.376,µm^2,Surface,1,630,
0.152541,µm^2,Surface,1,631,
0.246346,µm^2,Surface,1,632,
0.0143107,µm^2,Surface,1,633,
0.3553,µm^2,Surface,1,634,
0.632742,µm^2,Surface,1,635,
0.177821,µm^2,Surface,1,636,
0.0258993,µm^2,Surface,1,637,
3.29311,µm^2,Surface,1,638,
0.609351,µm^2,Surface,1,639,
0.177823,µm^2,Surface,1,640,
0.472354,µm^2,Surface,1,641,
0.0927834,µm^2,Surface,1,642,
3.15277,µm^2,Surface,1,643,
0.652074,µm^2,Surface,1,644,
0.91357,µm^2,Surface,1,645,
1.0777,µm^2,Surface,1,646,
0.0560021,µm^2,Surface,1,647,
0.92632,µm^2,Surface,1,648,
0.200408,µm^2,Surface,1,649,
0.000852875,µm^2,Surface,1,650,
2.72236,µm^2,Surface,1,651,
0.26932,µm^2,Surface,1,652,
0.0398677,µm^2,Surface,1,653,
98.0435,µm^2,Surface,1,654,
5.01184,µm^2,Surface,1,655,
2.59048,µm^2,Surface,1,656,
0.338445,µm^2,Surface,1,657,
0.269321,µm^2,Surface,1,658,
3.59476,µm^2,Surface,1,659,
0.223313,µm^2,Surface,1,660,
0.000852875,µm^2,Surface,1,661,
0.134125,µm^2,Surface,1,662,
147.339,µm^2,Surface,1,663,
1.57713,µm^2,Surface,1,664,
432.814,µm^2,Surface,1,665,
1.57996,µm^2,Surface,1,666,
0.0398687,µm^2,Surface,1,667,
2.16565,µm^2,Surface,1,668,
1.81003,µm^2,Surface,1,669,
0.0258993,µm^2,Surface,1,670,
0.0736397,µm^2,Surface,1,671,
0.0560018,µm^2,Surface,1,672,
0.0736412,µm^2,Surface,1,673,
0.0398683,µm^2,Surface,1,674,
0.0736399,µm^2,Surface,1,675,
0.00574742,µm^2,Surface,1,676,
0.223312,µm^2,Surface,1,677,
0.535475,µm^2,Surface,1,678,
4.07845,µm^2,Surface,1,679,
0.20041,µm^2,Surface,1,680,
0.155769,µm^2,Surface,1,681,
0.384171,µm^2,Surface,1,682,
0.24015,µm^2,Surface,1,683,
0.0143107,µm^2,Surface,1,684,
0.0560015,µm^2,Surface,1,685,
1.54898,µm^2,Surface,1,686,
7.47068,µm^2,Surface,1,687,
191.255,µm^2,Surface,1,688,
3.58358,µm^2,Surface,1,689,
63.4906,µm^2,Surface,1,690,
0.698912,µm^2,Surface,1,691,
0.00085288,µm^2,Surface,1,692,
0.00574734,µm^2,Surface,1,693,
7.41265,µm^2,Surface,1,694,
1.19387,µm^2,Surface,1,695,
0.0736404,µm^2,Surface,1,696,
0.0560024,µm^2,Surface,1,697,
0.298734,µm^2,Surface,1,698,
0.0143108,µm^2,Surface,1,699,
0.535475,µm^2,Surface,1,700,
0.000852883,µm^2,Surface,1,701,
0.0258992,µm^2,Surface,1,702,
5.18767,µm^2,Surface,1,703,
6.88573,µm^2,Surface,1,704,
