
Detailed
 ==================== 
Area,Unit,Category,Time,ID,
166673,µm^2,Surface,1,0,
301.406,µm^2,Surface,1,1,
1.95346,µm^2,Surface,1,2,
0.923383,µm^2,Surface,1,3,
0.930313,µm^2,Surface,1,4,
85.1702,µm^2,Surface,1,5,
4.62181,µm^2,Surface,1,6,
99.1047,µm^2,Surface,1,7,
124.596,µm^2,Surface,1,8,
0.871088,µm^2,Surface,1,9,
0.531562,µm^2,Surface,1,10,
0.640052,µm^2,Surface,1,11,
0.120898,µm^2,Surface,1,12,
0.707751,µm^2,Surface,1,13,
135.69,µm^2,Surface,1,14,
2.11096,µm^2,Surface,1,15,
110.564,µm^2,Surface,1,16,
989.002,µm^2,Surface,1,17,
2.66633,µm^2,Surface,1,18,
2.72549,µm^2,Surface,1,19,
76.744,µm^2,Surface,1,20,
57.2948,µm^2,Surface,1,21,
201.205,µm^2,Surface,1,22,
0.0374023,µm^2,Surface,1,23,
1.41664,µm^2,Surface,1,24,
3.08397,µm^2,Surface,1,25,
118.993,µm^2,Surface,1,26,
0.00393769,µm^2,Surface,1,27,
3.60541,µm^2,Surface,1,28,
59.7049,µm^2,Surface,1,29,
12.0578,µm^2,Surface,1,30,
164.986,µm^2,Surface,1,31,
0.00249375,µm^2,Surface,1,32,
91.8091,µm^2,Surface,1,33,
105.919,µm^2,Surface,1,34,
1.39752,µm^2,Surface,1,35,
11.8611,µm^2,Surface,1,36,
0.164496,µm^2,Surface,1,37,
1.13058,µm^2,Surface,1,38,
1.07958,µm^2,Surface,1,39,
190.546,µm^2,Surface,1,40,
213.156,µm^2,Surface,1,41,
139.814,µm^2,Surface,1,42,
141.737,µm^2,Surface,1,43,
0.649304,µm^2,Surface,1,44,
1.64115,µm^2,Surface,1,45,
2.69955,µm^2,Surface,1,46,
211.078,µm^2,Surface,1,47,
154.966,µm^2,Surface,1,48,
0.048741,µm^2,Surface,1,49,
556.648,µm^2,Surface,1,50,
4.24733,µm^2,Surface,1,51,
0.110767,µm^2,Surface,1,52,
202.839,µm^2,Surface,1,53,
5.38079,µm^2,Surface,1,54,
0.417809,µm^2,Surface,1,55,
0.520637,µm^2,Surface,1,56,
13.0198,µm^2,Surface,1,57,
218.7,µm^2,Surface,1,58,
100.282,µm^2,Surface,1,59,
79.8443,µm^2,Surface,1,60,
0.363938,µm^2,Surface,1,61,
1.00296,µm^2,Surface,1,62,
299.611,µm^2,Surface,1,63,
141.775,µm^2,Surface,1,64,
0.273213,µm^2,Surface,1,65,
0.548886,µm^2,Surface,1,66,
0.0890546,µm^2,Surface,1,67,
49.4333,µm^2,Surface,1,68,
123.885,µm^2,Surface,1,69,
147.022,µm^2,Surface,1,70,
0.867984,µm^2,Surface,1,71,
5.19964,µm^2,Surface,1,72,
2.4114,µm^2,Surface,1,73,
5.8988,µm^2,Surface,1,74,
0.173057,µm^2,Surface,1,75,
234.937,µm^2,Surface,1,76,
0.518695,µm^2,Surface,1,77,
0.366433,µm^2,Surface,1,78,
0.981686,µm^2,Surface,1,79,
74.431,µm^2,Surface,1,80,
0.00328164,µm^2,Surface,1,81,
295.293,µm^2,Surface,1,82,
0.721422,µm^2,Surface,1,83,
0.109781,µm^2,Surface,1,84,
5.03131,µm^2,Surface,1,85,
30.6279,µm^2,Surface,1,86,
0.205996,µm^2,Surface,1,87,
3.95244,µm^2,Surface,1,88,
0.159859,µm^2,Surface,1,89,
0.129847,µm^2,Surface,1,90,
0.482866,µm^2,Surface,1,91,
2.33205,µm^2,Surface,1,92,
2.12731,µm^2,Surface,1,93,
757.191,µm^2,Surface,1,94,
54.8532,µm^2,Surface,1,95,
0.0706318,µm^2,Surface,1,96,
1.13358,µm^2,Surface,1,97,
0.438948,µm^2,Surface,1,98,
1.54828,µm^2,Surface,1,99,
41.2956,µm^2,Surface,1,100,
0.049503,µm^2,Surface,1,101,
320.91,µm^2,Surface,1,102,
0.119857,µm^2,Surface,1,103,
0.31123,µm^2,Surface,1,104,
2.58152,µm^2,Surface,1,105,
0.121222,µm^2,Surface,1,106,
341.861,µm^2,Surface,1,107,
17.1743,µm^2,Surface,1,108,
126.634,µm^2,Surface,1,109,
55.156,µm^2,Surface,1,110,
0.981426,µm^2,Surface,1,111,
158.687,µm^2,Surface,1,112,
198.607,µm^2,Surface,1,113,
176.347,µm^2,Surface,1,114,
0.241301,µm^2,Surface,1,115,
0.582936,µm^2,Surface,1,116,
0.0721747,µm^2,Surface,1,117,
0.00610009,µm^2,Surface,1,118,
25.926,µm^2,Surface,1,119,
583.538,µm^2,Surface,1,120,
3.07804,µm^2,Surface,1,121,
0.160478,µm^2,Surface,1,122,
0.00585758,µm^2,Surface,1,123,
28.0538,µm^2,Surface,1,124,
4.65815,µm^2,Surface,1,125,
5.82616,µm^2,Surface,1,126,
1.61834,µm^2,Surface,1,127,
0.390112,µm^2,Surface,1,128,
0.842412,µm^2,Surface,1,129,
1.42653,µm^2,Surface,1,130,
77.3186,µm^2,Surface,1,131,
0.462041,µm^2,Surface,1,132,
3.52927,µm^2,Surface,1,133,
0.0990016,µm^2,Surface,1,134,
1.27034,µm^2,Surface,1,135,
60.2819,µm^2,Surface,1,136,
184.771,µm^2,Surface,1,137,
169.268,µm^2,Surface,1,138,
3.93704,µm^2,Surface,1,139,
0.793995,µm^2,Surface,1,140,
0.394617,µm^2,Surface,1,141,
188.286,µm^2,Surface,1,142,
1.98106,µm^2,Surface,1,143,
0.00217983,µm^2,Surface,1,144,
0.0596938,µm^2,Surface,1,145,
2.40153,µm^2,Surface,1,146,
0.152122,µm^2,Surface,1,147,
61.9726,µm^2,Surface,1,148,
0.622675,µm^2,Surface,1,149,
34.9019,µm^2,Surface,1,150,
0.206469,µm^2,Surface,1,151,
0.415616,µm^2,Surface,1,152,
0.0299115,µm^2,Surface,1,153,
0.537644,µm^2,Surface,1,154,
0.757354,µm^2,Surface,1,155,
207.165,µm^2,Surface,1,156,
1.3351,µm^2,Surface,1,157,
0.322198,µm^2,Surface,1,158,
123.931,µm^2,Surface,1,159,
290.733,µm^2,Surface,1,160,
0.464783,µm^2,Surface,1,161,
61.6002,µm^2,Surface,1,162,
0.309711,µm^2,Surface,1,163,
48.4064,µm^2,Surface,1,164,
0.751074,µm^2,Surface,1,165,
0.748037,µm^2,Surface,1,166,
860.248,µm^2,Surface,1,167,
